date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,31.10,1100,31,31.10,31,0,0,0,
2025-11-13,11/11/2025,31.10,0,31.10,31.10,31.10,0,0,0,
2025-11-13,10/11/2025,31.10,100,31.10,31.10,31.10,0,0,0,
2025-11-13,07/11/2025,31.10,600,31,31.10,31,0,0,0,
2025-11-13,06/11/2025,32,200,32,32,32,0,0,0,
2025-11-13,05/11/2025,31.10,0,31.10,31.10,31.10,0,0,0,
2025-11-13,04/11/2025,31.10,0,31.10,31.10,31.10,0,0,0,
2025-11-13,03/11/2025,31.10,600,31,31.10,31,0,0,0,
2025-11-13,31/10/2025,31,1100,31,31,31,0,1000,-0.0,
2025-11-13,30/10/2025,31,0,31,31,31,0,0,0,
2025-11-13,29/10/2025,31,1400,32,32,30.70,0,0,0,
2025-11-13,28/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,27/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,24/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,23/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,22/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,21/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,20/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,17/10/2025,33,0,33,33,33,0,0,0,
2025-11-13,16/10/2025,33,500,33.20,33.20,33,0,0,0,
2025-11-13,15/10/2025,33.40,800,33.40,33.40,33.40,0,0,0,
2025-11-13,14/10/2025,33.40,0,33.40,33.40,33.40,0,0,0,
2025-11-13,13/10/2025,33.40,0,33.40,33.40,33.40,0,0,0,
2025-11-13,10/10/2025,33.40,0,33.40,33.40,33.40,0,0,0,
2025-11-13,09/10/2025,33.40,0,33.40,33.40,33.40,0,0,0,
2025-11-13,08/10/2025,33.40,1800,33.40,33.40,33.40,0,0,0,
2025-11-13,07/10/2025,34.30,400,34.30,34.30,34.30,0,0,0,
2025-11-13,06/10/2025,34.20,0,34.20,34.20,34.20,0,0,0,
2025-11-13,03/10/2025,34.20,0,34.20,34.20,34.20,0,0,0,
2025-11-13,02/10/2025,34.20,0,34.20,34.20,34.20,0,0,0,
2025-11-13,01/10/2025,34.20,0,34.20,34.20,34.20,0,0,0,
2025-11-13,30/09/2025,34.20,300,34.20,34.20,34.20,0,0,0,
