date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,35,0,35,35,35,0,0,0
2025-11-13,11/11/2025,35,0,35,35,35,0,0,0
2025-11-13,10/11/2025,35,0,35,35,35,0,0,0
2025-11-13,07/11/2025,35,200,35,35,35,0,0,0
2025-11-13,06/11/2025,37.40,0,37.40,37.40,37.40,0,0,0
2025-11-13,05/11/2025,37.40,0,37.40,37.40,37.40,0,0,0
2025-11-13,04/11/2025,37.40,0,37.40,37.40,37.40,0,0,0
2025-11-13,03/11/2025,37.40,0,37.40,37.40,37.40,0,0,0
2025-11-13,31/10/2025,37.40,1200,37.40,37.40,37.40,0,0,0
2025-11-13,30/10/2025,35,100,35,35,35,0,0,0
2025-11-13,29/10/2025,35.85,0,35.85,35.85,35.85,0,0,0
2025-11-13,28/10/2025,35.85,0,35.85,35.85,35.85,0,0,0
2025-11-13,27/10/2025,35.85,3000,35.90,37,35.85,0,0,0
2025-11-13,24/10/2025,38.50,0,38.50,38.50,38.50,0,0,0
2025-11-13,23/10/2025,38.50,0,38.50,38.50,38.50,0,0,0
2025-11-13,22/10/2025,38.50,200,39.35,39.35,38.50,0,0,0
2025-11-13,21/10/2025,36.90,100,36.90,36.90,36.90,0,0,0
2025-11-13,20/10/2025,37.20,500,37.20,37.20,37.20,0,0,0
2025-11-13,17/10/2025,39.95,0,39.95,39.95,39.95,0,0,0
2025-11-13,16/10/2025,39.95,100,39.95,39.95,39.95,0,0,0
2025-11-13,15/10/2025,37.70,100,37.70,37.70,37.70,0,0,0
2025-11-13,14/10/2025,37.30,0,37.30,37.30,37.30,0,0,0
2025-11-13,13/10/2025,37.30,0,37.30,37.30,37.30,0,0,0
2025-11-13,10/10/2025,37.30,1500,34.90,37.30,34.90,0,0,0
2025-11-13,09/10/2025,35,0,35,35,35,0,0,0
2025-11-13,08/10/2025,35,0,35,35,35,0,0,0
2025-11-13,07/10/2025,35,1800,36,36,33.30,0,0,0
2025-11-13,06/10/2025,35.50,2000,35.50,35.50,35.50,0,0,0
2025-11-13,03/10/2025,37.90,1300,34.50,37.90,34.50,0,0,0
2025-11-13,02/10/2025,35.50,1800,35.60,35.60,35.50,0,0,0
2025-11-13,01/10/2025,37.80,0,37.80,37.80,37.80,0,0,0
2025-11-13,30/09/2025,37.80,600,40.55,40.55,37.80,0,0,0
2025-11-13,29/09/2025,37.90,0,37.90,37.90,37.90,0,0,0
2025-11-13,26/09/2025,37.90,100,37.90,37.90,37.90,0,0,0
2025-11-13,25/09/2025,35.50,400,35.50,35.50,35.50,0,100,-0.0
2025-11-13,24/09/2025,35.60,200,35.60,35.60,35.60,0,0,0
2025-11-13,23/09/2025,36.75,0,36.75,36.75,36.75,0,0,0
2025-11-13,22/09/2025,36.75,0,36.75,36.75,36.75,0,0,0
2025-11-13,19/09/2025,36.75,500,36,36.75,36,0,0,0
2025-11-13,18/09/2025,35.95,1000,35.95,35.95,35.95,0,0,0
2025-11-13,17/09/2025,35.95,1600,35.95,41.35,35.95,0,200,-0.0
2025-11-13,16/09/2025,38.65,0,38.65,38.65,38.65,0,0,0
2025-11-13,15/09/2025,38.65,100,38.65,38.65,38.65,0,0,0
2025-11-13,12/09/2025,36.30,700,34.50,36.30,34.50,0,0,0
2025-11-13,11/09/2025,36.40,100,36.40,36.40,36.40,0,0,0
2025-11-13,10/09/2025,36.40,500,36.50,36.50,36.40,0,0,0
2025-11-13,09/09/2025,36.05,1700,36.05,36.05,36.05,0,0,0
2025-11-13,08/09/2025,36.05,200,34.50,36.05,34.50,0,0,0
2025-11-13,05/09/2025,36.80,300,36.80,36.80,36.80,0,0,0
2025-11-13,04/09/2025,36.80,0,36.80,36.80,36.80,0,0,0
2025-11-13,03/09/2025,36.80,1400,36.95,36.95,36.80,200,0,0.0
2025-11-13,29/08/2025,36.95,4300,39.50,39.50,36.95,0,0,0
2025-11-13,28/08/2025,39.70,200,40.25,40.25,39.70,0,0,0
2025-11-13,27/08/2025,37.70,100,37.70,37.70,37.70,0,0,0
2025-11-13,26/08/2025,35.30,500,35.30,35.30,35.30,0,0,0
2025-11-13,25/08/2025,33,2200,33,33,33,100,2200,-0.1
2025-11-13,22/08/2025,35.10,0,35.10,35.10,35.10,0,0,0
2025-11-13,21/08/2025,35.10,0,35.10,35.10,35.10,0,0,0
2025-11-13,20/08/2025,35.10,0,35.10,35.10,35.10,0,0,0
2025-11-13,19/08/2025,35.10,0,35.10,35.10,35.10,0,0,0
2025-11-13,18/08/2025,35.10,100,35.10,35.10,35.10,0,0,0
2025-11-13,15/08/2025,36.50,0,36.50,36.50,36.50,0,0,0
2025-11-13,14/08/2025,36.50,100,36.50,36.50,36.50,0,0,0
2025-11-13,13/08/2025,36.50,100,36.50,36.50,36.50,0,0,0
2025-11-13,12/08/2025,37.95,1200,36.60,37.95,36.60,0,0,0
2025-11-13,11/08/2025,35.50,200,35.30,35.50,35.30,0,0,0
2025-11-13,08/08/2025,37.50,0,37.50,37.50,37.50,0,0,0
2025-11-13,07/08/2025,37.50,1700,36.60,37.95,36.60,0,0,0
2025-11-13,06/08/2025,35.50,0,35.50,35.50,35.50,0,0,0
2025-11-13,05/08/2025,35.50,0,35.50,35.50,35.50,0,0,0
2025-11-13,04/08/2025,35.50,1000,35.50,35.50,35.50,0,0,0
2025-11-13,01/08/2025,35.50,2100,35.50,35.50,35.50,0,0,0
2025-11-13,31/07/2025,34.30,0,34.30,34.30,34.30,0,0,0
2025-11-13,30/07/2025,34.30,1300,34.40,35,34.30,0,0,0
2025-11-13,29/07/2025,36.60,300,36.60,36.60,36.60,0,0,0
2025-11-13,28/07/2025,36.60,0,36.60,36.60,36.60,0,0,0
2025-11-13,25/07/2025,36.60,800,34.50,36.60,32.10,0,0,0
2025-11-13,24/07/2025,34.50,500,34.50,34.50,34.50,0,0,0
2025-11-13,23/07/2025,34.60,100,34.60,34.60,34.60,0,0,0
2025-11-13,22/07/2025,36.45,100,36.45,36.45,36.45,0,0,0
2025-11-13,21/07/2025,34.60,100,34.60,34.60,34.60,0,0,0
2025-11-13,18/07/2025,36.20,300,36.25,36.25,36.20,0,100,-0.0
2025-11-13,17/07/2025,36.20,3600,36.20,39.20,36.20,0,0,0
2025-11-13,16/07/2025,38.90,0,38.90,38.90,38.90,0,0,0
2025-11-13,15/07/2025,38.90,200,38.90,38.90,38.90,0,0,0
2025-11-13,14/07/2025,38.50,0,38.50,38.50,38.50,0,0,0
2025-11-13,11/07/2025,38.50,0,38.50,38.50,38.50,0,0,0
2025-11-13,10/07/2025,38.50,0,38.50,38.50,38.50,0,0,0
