date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,26.90,4000,26,26.90,26,400,0,0.0,
2025-11-13,11/11/2025,25.30,28000,27.20,27.25,25.30,0,100,-0.0,
2025-11-13,10/11/2025,27.20,4100,26.80,28.50,26.80,0,300,-0.0,
2025-11-13,07/11/2025,28.75,14400,28.10,28.75,28.10,1000,0,0.0,
2025-11-13,06/11/2025,30,3300,31,31,29,0,0,0,
2025-11-13,05/11/2025,30,18200,31.95,31.95,30,2000,200,0.1,
2025-11-13,04/11/2025,31.95,19900,31.55,33,31.40,5200,0,0.2,
2025-11-13,03/11/2025,31.45,14400,29.50,31.45,29.50,1800,100,0.1,
2025-11-13,31/10/2025,29.40,50300,29.35,31,29.35,15200,0,0.4,
2025-11-13,30/10/2025,31.55,16300,33.85,33.85,31.55,0,0,0,
2025-11-13,29/10/2025,33.90,47400,39,39,33.90,800,2400,-0.1,
2025-11-13,28/10/2025,36.45,5300,36.45,36.45,36.45,0,0,0,
2025-11-13,27/10/2025,34.10,5100,34.10,34.10,34.10,0,0,0,
2025-11-13,24/10/2025,31.90,35500,31.90,31.90,31.80,500,0,0.0,
2025-11-13,23/10/2025,29.85,28300,29.85,29.85,29.85,0,0,0,
2025-11-13,22/10/2025,27.90,98900,27.90,27.90,27.80,12100,11700,0.0,
2025-11-13,21/10/2025,26.10,29500,26.10,26.10,26.10,0,0,0,
2025-11-13,20/10/2025,24.40,19400,24.40,24.40,24.40,0,0,0,
2025-11-13,17/10/2025,22.85,4000,22.85,22.85,22.85,0,0,0,
2025-11-13,16/10/2025,21.40,45800,21.40,21.40,21.40,0,0,0,
2025-11-13,15/10/2025,20,1200,19.10,20,19.10,0,0,0,
2025-11-13,14/10/2025,20,1300,20.30,20.30,19.10,0,0,0,
2025-11-13,13/10/2025,20.50,0,20.50,20.50,20.50,0,0,0,
2025-11-13,10/10/2025,20.50,3600,20.50,20.50,19.60,0,200,-0.0,
2025-11-13,09/10/2025,20.95,0,20.95,20.95,20.95,0,0,0,
2025-11-13,08/10/2025,20.95,1100,21,21,20,0,0,0,
2025-11-13,07/10/2025,21,3400,20,21,19.20,0,0,0,
2025-11-13,06/10/2025,20,6300,20,20,20,100,0,0.0,
2025-11-13,03/10/2025,20,4600,18.80,20,18.80,200,0,0.0,
2025-11-13,02/10/2025,20,0,20,20,20,0,0,0,
2025-11-13,01/10/2025,20,1300,20,20,20,0,0,0,
2025-11-13,30/09/2025,20,5000,20,20,19.25,0,0,0,
2025-11-13,29/09/2025,20.05,1900,20.05,20.05,20,0,0,0,
2025-11-13,26/09/2025,20.05,3000,20.05,20.05,20,0,0,0,
2025-11-13,25/09/2025,20.05,6800,20.05,20.05,19.10,0,0,0,
2025-11-13,24/09/2025,20.10,4300,20.30,20.30,20.05,300,0,0.0,
2025-11-13,23/09/2025,20.35,5500,20.50,20.55,20.35,1100,0,0.0,
2025-11-13,22/09/2025,20.50,2700,21.35,21.35,20.50,100,100,-0,
2025-11-13,19/09/2025,21.35,2100,22,22,21.35,0,0,0,
2025-11-13,18/09/2025,22,7400,22,22.50,22,0,600,-0.0,
2025-11-13,17/09/2025,21.25,6600,22.45,22.45,21.25,100,100,-0.0,
