date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,11.70,6200,11.80,11.80,11.50,0,0,0,
2025-11-13,11/11/2025,11.70,1600,11.70,11.70,11.70,0,0,0,
2025-11-13,10/11/2025,11.60,9900,11.70,11.70,11.50,0,0,0,
2025-11-13,07/11/2025,11.50,61800,11.60,11.80,11.40,0,0,0,
2025-11-13,06/11/2025,11.80,1100,11.60,11.80,11.60,0,0,0,
2025-11-13,05/11/2025,11.70,8600,11.80,11.80,11.70,0,0,0,
2025-11-13,04/11/2025,11.70,37300,11.80,11.90,11.40,0,0,0,
2025-11-13,03/11/2025,11.70,169300,12.10,12.10,11.50,0,0,0,
2025-11-13,31/10/2025,12.30,400,12.50,12.50,12.30,0,0,0,
2025-11-13,30/10/2025,12.30,6800,12.30,12.30,12.20,0,0,0,
2025-11-13,29/10/2025,12.30,5600,12.20,12.40,12.20,0,0,0,
2025-11-13,28/10/2025,12.30,13600,12.10,12.40,12.10,0,0,0,
2025-11-13,27/10/2025,12.10,11500,12.20,12.40,12.10,0,0,0,
2025-11-13,24/10/2025,12.70,100,12.70,12.70,12.70,0,0,0,
2025-11-13,23/10/2025,12.30,16300,12.40,12.40,12.10,0,0,0,
2025-11-13,22/10/2025,12.30,19700,12.10,12.40,12.10,0,0,0,
2025-11-13,21/10/2025,12.30,64000,12.30,12.30,11.90,0,0,0,
2025-11-13,20/10/2025,12.30,16700,12.60,12.60,12.30,0,0,0,
2025-11-13,17/10/2025,12.60,25900,12.60,12.70,12.30,0,0,0,
2025-11-13,16/10/2025,12.50,1700,12.50,12.60,12.30,0,0,0,
2025-11-13,15/10/2025,12.60,21100,12.30,13,12.30,0,0,0,
2025-11-13,14/10/2025,12.40,33700,12.40,12.50,12.30,0,0,0,
2025-11-13,13/10/2025,12.40,30700,12.30,12.50,12.30,0,0,0,
2025-11-13,10/10/2025,12.50,52700,12.40,12.60,12.40,0,0,0,
2025-11-13,09/10/2025,12.60,16000,12.60,12.60,12.50,0,0,0,
2025-11-13,08/10/2025,12.60,31300,12.50,12.60,12.40,0,0,0,
2025-11-13,07/10/2025,12.60,23100,12.50,12.60,12.40,0,0,0,
2025-11-13,06/10/2025,12.50,6800,12.70,12.70,12.50,0,0,0,
2025-11-13,03/10/2025,12.60,6100,12.50,12.80,12.50,0,0,0,
2025-11-13,02/10/2025,12.60,61800,12.50,13.20,12.50,0,0,0,
2025-11-13,01/10/2025,12.50,13000,12.40,12.50,12.20,0,0,0,
2025-11-13,30/09/2025,12.40,19000,12.30,12.50,12.20,0,0,0,
2025-11-13,29/09/2025,12.30,26200,12.30,12.60,12.30,0,0,0,
2025-11-13,26/09/2025,12.40,25900,12.40,12.40,12.30,0,0,0,
2025-11-13,25/09/2025,12.40,50800,12.70,12.70,12.30,0,0,0,
