date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,21.40,4891700,21.10,21.40,20.70,87200,581244,-10.4,
2025-11-13,11/11/2025,20.85,4239000,20.60,20.85,20.25,510300,430700,1.7,
2025-11-13,10/11/2025,20.50,3985300,20.65,21.10,20.20,444600,197700,5.1,
2025-11-13,07/11/2025,21,6631600,21.50,21.55,20.30,799800,1081500,-6.1,
2025-11-13,06/11/2025,21.70,6462200,22,22.10,21.25,27500,304400,-6.0,
2025-11-13,05/11/2025,22,6217200,21.15,22.10,21.10,1415800,376000,22.9,
2025-11-13,04/11/2025,21.55,10882700,20.05,21.55,19.30,2238200,487600,37.1,
2025-11-13,03/11/2025,20.15,7642300,21.50,21.70,20.15,381300,374500,-0.1,
2025-11-13,31/10/2025,21.65,4035500,22.10,22.10,21.55,122200,303300,-4.0,
2025-11-13,30/10/2025,22.10,8459800,21.95,22.55,21.40,349500,1010300,-14.6,
2025-11-13,29/10/2025,22.20,4212300,22.05,22.35,21.90,304800,310700,-0.1,
2025-11-13,28/10/2025,21.95,7208400,21.05,21.95,20.75,1815000,427100,29.5,
2025-11-13,27/10/2025,21.15,5549500,22.05,22.20,21.15,186400,551700,-8.0,
2025-11-13,24/10/2025,22,7445600,22,22.20,21.35,1049700,1660600,-12.9,
2025-11-13,23/10/2025,22.05,6013400,22.55,22.85,22,121800,1221300,-24.7,
2025-11-13,22/10/2025,22.55,8734300,21.70,22.65,21.45,342600,107700,5.1,
2025-11-13,21/10/2025,21.50,17940000,22.30,22.70,21.25,1930100,1192500,15.7,
2025-11-13,20/10/2025,22.80,14583300,24.20,24.55,22.80,1471300,65300,33.2,
2025-11-13,17/10/2025,24.50,14042200,25.60,25.80,24.50,83600,539700,-11.6,
2025-11-13,16/10/2025,25.50,15551900,24.70,25.50,24.35,1708100,502400,30.1,
2025-11-13,15/10/2025,24.50,16970100,24.80,25.20,24.10,915200,314400,14.5,
2025-11-13,14/10/2025,24.70,19636300,26.20,26.25,24.70,1699800,351100,34.0,
2025-11-13,13/10/2025,25.85,19285000,24.30,25.90,24.30,3156000,856000,58.5,
2025-11-13,10/10/2025,24.70,23770100,23.95,24.70,23.60,4492400,436800,97.7,
2025-11-13,09/10/2025,23.60,9075600,23.55,23.90,23.15,0,0,0,
2025-11-13,08/10/2025,23.30,13472600,22.50,23.40,21.80,1104700,1303900,-4.9,
2025-11-13,07/10/2025,22.10,5349800,22.75,22.75,22.10,287000,308300,-0.5,
2025-11-13,06/10/2025,22.70,6936900,21.80,22.75,21.55,303100,742200,-9.7,
2025-11-13,03/10/2025,21.40,7840800,21.75,22,21.40,663900,305600,7.8,
2025-11-13,02/10/2025,22.10,6145000,23.15,23.15,22,59800,172000,-2.6,
2025-11-13,01/10/2025,22.90,19877600,22.15,23.70,21.85,3212300,865800,53.8,
2025-11-13,30/09/2025,22.15,7934700,22.05,22.15,21.05,1394600,543600,18.3,
2025-11-13,29/09/2025,22.05,6380600,21.60,22.15,21.55,847100,538200,6.8,
2025-11-13,26/09/2025,22,10712000,22.20,22.50,21.85,1124000,199500,20.5,
2025-11-13,25/09/2025,22.20,14423500,21.80,22.45,21.70,1610100,399400,26.9,
2025-11-13,24/09/2025,21.70,5314500,21.15,21.70,20.70,183600,303800,-2.5,
2025-11-13,23/09/2025,21.20,4088300,21.30,21.35,20.85,1038100,836200,4.3,
2025-11-13,22/09/2025,21.10,6896400,21.10,21.35,20.55,789200,1005000,-4.5,
2025-11-13,19/09/2025,20.70,8264000,21.35,21.50,20.70,720400,3146100,-50.4,
2025-11-13,18/09/2025,21,7008700,21.45,21.45,20.90,760300,554700,4.3,
2025-11-13,17/09/2025,21.30,5231900,21.70,21.85,21.25,83000,425600,-7.4,
2025-11-13,16/09/2025,21.75,6304700,22.40,22.40,21.65,16600,705900,-15.3,
2025-11-13,15/09/2025,22,6924700,21.80,22.05,21.65,665000,436100,5.0,
2025-11-13,12/09/2025,21.65,6564700,21.30,22,21.30,955200,452900,10.8,
2025-11-13,11/09/2025,21.15,8275000,21.50,21.50,20.55,482500,1677300,-25.0,
2025-11-13,10/09/2025,21.50,5548700,22,22,21.15,183700,1993800,-38.8,
2025-11-13,09/09/2025,21.80,6978000,21.45,21.80,20.95,883200,880900,-0.1,
2025-11-13,08/09/2025,21.45,20227200,22.95,22.95,21.45,3019100,1592200,30.3,
2025-11-13,05/09/2025,22.95,10852400,24.20,24.35,22.95,812200,488300,7.6,
2025-11-13,04/09/2025,24.15,24450200,22.95,24.20,22.95,885500,1076100,-4.8,
2025-11-13,03/09/2025,22.65,13690300,21.95,22.70,21.90,1639800,4066900,-53.9,
2025-11-13,29/08/2025,21.90,7925500,22.45,22.60,21.90,365300,823300,-10.1,
2025-11-13,28/08/2025,22,6955700,21.50,22,21.05,293900,270400,0,
2025-11-13,27/08/2025,21.20,10101200,21.40,22.25,21,403300,625100,-5.0,
2025-11-13,26/08/2025,21.40,8182800,20.35,21.40,20.10,875500,2820300,-39.5,
2025-11-13,25/08/2025,20.35,8352000,20.60,20.70,19.75,1641500,3236800,-32.0,
2025-11-13,22/08/2025,20.55,21285200,20.35,20.90,19.90,2145700,3998300,-37.8,
2025-11-13,21/08/2025,21.35,6529000,22.30,22.30,21.35,93900,1778400,-36.6,
2025-11-13,"20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)","20/08/2025: Quyá»n mua cá» phiáº¿u: 10/3 GiÃ¡: 10 (Volume + 30%, Ratio=0.30)"
2025-11-13,20/08/2025,22.20,11995300,23.10,23.10,21.50,678200,3480600,-61.7,
2025-11-13,19/08/2025,21.58,12599100,21.28,21.96,20.93,1413400,1042200,9.1,
2025-11-13,18/08/2025,21.19,12084400,21.45,21.45,20.67,1511300,395500,27.1,
2025-11-13,15/08/2025,21.28,12137000,22.44,22.48,21.06,996000,414100,14.7,
2025-11-13,14/08/2025,22.40,11127700,22.83,22.83,22.05,737600,277000,11.9,
2025-11-13,13/08/2025,22.40,14318300,22.14,22.61,21.79,1003900,546500,11.7,
2025-11-13,12/08/2025,21.84,11195000,21.53,21.92,20.97,1373800,397600,24.4,
2025-11-13,11/08/2025,21.53,10267000,21.58,22.14,21.40,1203800,768400,10.9,
2025-11-13,08/08/2025,21.36,14638200,20.97,21.53,20.41,1698800,2057400,-8.9,
2025-11-13,07/08/2025,20.80,10230900,20.67,20.93,20.54,371000,1020200,-15.7,
2025-11-13,06/08/2025,20.50,7799500,20.50,20.93,20.07,666900,979400,-7.2,
2025-11-13,05/08/2025,20.33,13819300,20.67,21.32,19.64,265300,1884600,-39.1,
2025-11-13,04/08/2025,20.59,6356800,19.51,20.59,19.47,1065300,416600,15.2,
2025-11-13,01/08/2025,19.81,8031200,20.63,20.67,19.81,849200,536300,7.2,
2025-11-13,31/07/2025,20.63,12936500,21.02,21.02,19.68,1187500,439800,17.4,
2025-11-13,30/07/2025,20.50,15960900,21.36,21.62,20.24,693900,293500,9.4,
2025-11-13,29/07/2025,21.19,21247200,22.83,22.83,21.19,490400,1952100,-37.1,
2025-11-13,28/07/2025,22.74,10437200,22.40,23.30,22.18,1285900,985000,8.0,
2025-11-13,25/07/2025,22.05,7989400,21.88,22.14,21.49,1167000,1354500,-4.6,
2025-11-13,24/07/2025,21.75,6578800,21.49,21.79,21.15,649000,1100600,-11.0,
2025-11-13,23/07/2025,21.49,11045600,21.49,22.48,21.10,617000,1042400,-10.8,
2025-11-13,22/07/2025,21.19,7580800,20.41,21.19,20.41,1852700,136500,41.3,
2025-11-13,21/07/2025,20.72,7304200,21.10,21.45,20.72,1070500,394800,16.3,
2025-11-13,18/07/2025,21.10,7400600,21.45,21.71,20.84,1091800,424700,16.2,
2025-11-13,17/07/2025,21.28,9050000,20.89,22.14,20.76,2341600,794600,38.6,
2025-11-13,16/07/2025,20.80,6168400,20.50,20.97,20.37,1329600,703300,14.9,
2025-11-13,15/07/2025,20.63,10319700,21.10,21.36,20.63,113400,3076700,-72.3,
2025-11-13,14/07/2025,21.40,9791600,20.46,21.49,19.90,1946600,1247500,16.9,
2025-11-13,11/07/2025,20.54,10006100,20.20,20.84,19.60,2693700,1487800,0,
2025-11-13,10/07/2025,20.07,7008300,20.03,20.28,19.77,2145300,564600,0,
2025-11-13,09/07/2025,19.85,8291100,19.85,20.24,19.60,2546300,535400,0,
2025-11-13,08/07/2025,19.81,10513500,19.73,20.46,19.29,1922400,312300,36.9,
2025-11-13,07/07/2025,19.25,13071900,18.39,19.25,18.13,1340400,737700,12.9,
2025-11-13,04/07/2025,18.00,15205400,17.14,18.22,17.14,2725500,337600,49.4,
2025-11-13,03/07/2025,17.05,8132000,17.49,17.66,17.05,257300,752000,-10.0,
2025-11-13,02/07/2025,17.23,3778100,17.05,17.27,17.01,0,356200,-7.1,
2025-11-13,01/07/2025,17.14,3212600,17.36,17.40,16.97,170700,114200,1.1,
2025-11-13,30/06/2025,17.23,10473200,16.88,17.61,16.84,1198300,1286500,-1.8,
2025-11-13,27/06/2025,16.84,6654900,16.93,17.14,16.80,1562800,281300,25.1,
2025-11-13,26/06/2025,16.75,2838700,16.67,16.80,16.58,14600,144500,-2.5,
2025-11-13,25/06/2025,16.62,4790600,16.84,17.05,16.62,508600,316700,3.6,
2025-11-13,24/06/2025,16.75,5760500,16.62,16.88,16.49,699800,334900,7.1,
