date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,11.85,172800,11.85,11.90,11.70,39600,1100,0.5
2025-11-13,11/11/2025,11.75,125900,11.70,11.80,11.60,8600,6800,0.0
2025-11-13,10/11/2025,11.70,184100,11.80,11.85,11.60,7600,5100,0.0
2025-11-13,07/11/2025,11.85,157000,11.85,11.90,11.45,2400,17800,-0.2
2025-11-13,06/11/2025,11.90,82200,12,12,11.75,3800,1500,0.0
2025-11-13,05/11/2025,11.95,133700,11.90,11.95,11.80,10100,12100,-0.0
2025-11-13,04/11/2025,11.95,355100,11.85,11.95,11.60,23900,13100,0.1
2025-11-13,03/11/2025,11.90,163500,12,12,11.75,17600,12700,0.1
2025-11-13,31/10/2025,11.95,219600,12,12.10,11.85,15700,2500,0.2
2025-11-13,30/10/2025,11.95,124600,12.15,12.15,11.95,0,7000,-0.1
2025-11-13,29/10/2025,12.10,255400,11.85,12.10,11.85,12800,0,0.2
2025-11-13,28/10/2025,11.85,185900,11.80,11.90,11.60,8200,8600,-0.0
2025-11-13,27/10/2025,11.85,263500,11.90,11.95,11.70,11800,300,0.1
2025-11-13,24/10/2025,11.85,272500,11.85,11.85,11.60,3400,19600,-0.2
2025-11-13,23/10/2025,11.85,91900,11.85,11.95,11.80,6300,0,0.1
2025-11-13,22/10/2025,11.85,280300,11.85,11.85,11.65,0,38500,-0.5
2025-11-13,21/10/2025,11.80,704800,11.95,12,11.55,20700,17800,0.0
2025-11-13,20/10/2025,11.90,1081500,12.40,12.45,11.90,8800,41000,-0.4
2025-11-13,17/10/2025,12.40,496000,12.60,12.65,12.40,65300,13700,0.6
2025-11-13,16/10/2025,12.50,332200,12.60,12.60,12.30,17800,19200,-0.0
2025-11-13,15/10/2025,12.30,517800,12.40,12.55,12.25,0,84900,-1.0
2025-11-13,14/10/2025,12.40,747900,12.75,12.75,12.35,25300,87300,-0.8
2025-11-13,13/10/2025,12.70,558000,12.35,12.90,12.30,4300,97400,-1.2
2025-11-13,10/10/2025,12.50,457900,12.45,12.65,12.40,2900,22900,-0.3
2025-11-13,09/10/2025,12.45,406500,12.40,12.50,12.35,0,0,0
2025-11-13,08/10/2025,12.45,417000,12.65,12.70,12.25,32000,95500,-0.8
2025-11-13,07/10/2025,12.45,485700,12.60,12.75,12.40,0,12000,-0.2
2025-11-13,06/10/2025,12.70,251800,12.35,12.75,12.35,15800,16900,-0.0
2025-11-13,03/10/2025,12.40,556700,12.55,12.55,12.35,32600,146900,-1.4
2025-11-13,02/10/2025,12.55,290300,12.70,12.85,12.55,10300,46600,-0.5
2025-11-13,01/10/2025,12.65,375200,12.75,12.75,12.60,4700,31800,-0.3
2025-11-13,30/09/2025,12.75,709000,13,13,12.50,7800,93500,-1.1
2025-11-13,29/09/2025,12.85,498900,13.15,13.40,12.80,0,58300,-0.8
2025-11-13,26/09/2025,13.25,746400,13.20,13.40,13.15,137100,66700,0.9
2025-11-13,25/09/2025,13.20,895500,12.95,13.35,12.95,114900,73000,0.6
2025-11-13,24/09/2025,12.95,408200,12.60,12.95,12.50,44900,28400,0.2
2025-11-13,23/09/2025,12.60,183500,12.95,12.95,12.60,0,41400,-0.5
2025-11-13,22/09/2025,12.70,714500,12.85,12.90,12.55,54100,208700,-2.0
2025-11-13,19/09/2025,12.80,663900,12.80,13.10,12.75,1400,112900,-1.4
2025-11-13,18/09/2025,12.80,446700,12.90,13,12.75,3200,33500,-0.4
2025-11-13,17/09/2025,12.90,824500,13.10,13.15,12.80,26000,86000,-0.8
2025-11-13,16/09/2025,13.10,2594600,13.35,13.65,13.10,493200,117300,5.1
2025-11-13,15/09/2025,13.20,650100,13.30,13.50,13.15,8900,110400,-1.4
2025-11-13,12/09/2025,13.15,1038200,12.50,13.15,12.35,67800,79200,-0.1
2025-11-13,11/09/2025,12.30,547400,12.15,12.30,11.90,22300,64800,-0.5
2025-11-13,10/09/2025,12.15,644300,12.25,12.40,12.10,0,117800,-1.4
2025-11-13,09/09/2025,12.30,731100,12.50,12.50,12.20,193700,113000,1.0
2025-11-13,08/09/2025,12.25,1380300,13,13,12.25,51000,154900,-1.3
2025-11-13,05/09/2025,13.05,944100,13.20,13.45,13,115700,88400,0.4
2025-11-13,04/09/2025,13.20,896600,13.30,13.60,13.10,52800,100400,-0.6
2025-11-13,03/09/2025,13.25,1259500,12.80,13.25,12.75,230800,73400,2.0
2025-11-13,29/08/2025,12.65,898300,12.95,13,12.65,56300,67000,-0.1
2025-11-13,28/08/2025,12.80,522700,12.80,12.80,12.55,24100,73300,0
2025-11-13,27/08/2025,12.65,1037500,13.10,13.10,12.60,10600,301300,-3.7
2025-11-13,26/08/2025,12.90,1077300,12.35,12.90,12.35,66700,177400,-1.4
2025-11-13,25/08/2025,12.30,984400,12.40,12.80,12.25,74700,232900,-2.0
2025-11-13,22/08/2025,12.35,3279600,12.90,12.95,12.25,554400,417400,1.7
2025-11-13,21/08/2025,13.10,3461200,13.90,14.05,13.10,136300,410400,-3.7
2025-11-13,20/08/2025,13.90,2059300,14.65,14.65,13.55,230700,213600,0.2
2025-11-13,19/08/2025,14.50,3794700,14.35,14.80,14.30,590900,192800,5.8
2025-11-13,18/08/2025,14.20,2195000,14,14.20,13.75,609800,64100,7.7
2025-11-13,15/08/2025,13.55,1831500,13.90,14.10,13.45,255400,289800,-0.5
2025-11-13,14/08/2025,14.10,1971300,14.20,14.35,13.90,112000,109000,0.0
2025-11-13,13/08/2025,14.25,2088200,14.45,14.60,13.95,167500,436200,-3.9
2025-11-13,12/08/2025,14.40,2407300,14.25,14.50,13.80,260200,176800,1.2
2025-11-13,11/08/2025,14.20,3252900,14.05,14.55,14.05,100800,108600,-0.1
2025-11-13,08/08/2025,13.90,3237000,13.05,13.90,12.80,541200,112800,5.7
2025-11-13,07/08/2025,13,1907700,12.75,13.10,12.65,185400,38500,1.9
2025-11-13,06/08/2025,12.60,1004500,12.45,12.60,12.35,102400,90100,0.1
2025-11-13,05/08/2025,12.45,2603400,12.75,12.95,12.15,136200,173500,-0.5
2025-11-13,04/08/2025,12.65,769400,12.50,12.80,12.20,100,113300,-1.4
2025-11-13,01/08/2025,12.50,2160300,12.95,13.20,12.50,139800,267300,-1.6
2025-11-13,31/07/2025,12.75,2874100,12.60,12.90,12.05,140700,110800,0.4
2025-11-13,30/07/2025,12.50,1427700,12.20,12.75,12.10,160400,130200,0.4
2025-11-13,29/07/2025,12.20,3365500,12.95,13,12.20,222800,183400,0.5
2025-11-13,28/07/2025,12.75,3484800,12.10,12.75,12,65900,189600,-1.6
2025-11-13,25/07/2025,11.95,1112600,11.80,12.05,11.75,172400,114700,0.7
2025-11-13,24/07/2025,11.80,993900,11.80,12,11.65,113100,65700,0.5
2025-11-13,23/07/2025,11.75,1049300,11.75,11.90,11.70,206100,1800,2.4
2025-11-13,22/07/2025,11.65,1327400,11.50,11.65,11.45,207500,34000,2.0
2025-11-13,21/07/2025,11.60,1523500,11.80,12.20,11.60,300,64200,-0.8
2025-11-13,18/07/2025,11.85,1514600,11.95,12.20,11.75,15100,173300,-1.9
2025-11-13,17/07/2025,11.90,1976200,11.75,12.10,11.65,65500,197500,-1.6
2025-11-13,16/07/2025,11.65,833400,11.75,11.85,11.65,33000,64100,-0.4
2025-11-13,15/07/2025,11.70,2412600,11.65,12,11.65,140600,74600,0.8
2025-11-13,14/07/2025,11.50,1414000,11.35,11.50,11.15,195800,48200,1.7
2025-11-13,11/07/2025,11.35,994200,11.35,11.40,11.15,100100,39600,0
2025-11-13,10/07/2025,11.35,920900,11.60,11.60,11.35,7800,153000,0
2025-11-13,09/07/2025,11.45,1806900,11.25,11.60,11.20,99800,132000,0
2025-11-13,08/07/2025,11.25,777400,11.30,11.30,11.10,33600,42400,-0.1
2025-11-13,07/07/2025,11.20,682700,11.15,11.25,11,1300,43000,-0.5
2025-11-13,04/07/2025,11.15,919900,10.95,11.20,10.95,93500,9900,0.9
2025-11-13,03/07/2025,10.95,414600,11,11.10,10.85,14200,39500,-0.3
2025-11-13,02/07/2025,11,565600,10.95,11.10,10.85,127700,5900,1.3
2025-11-13,01/07/2025,10.95,357800,11,11.10,10.85,13200,3900,0.1
2025-11-13,30/06/2025,11,467900,11,11.05,10.95,135400,0,1.5
2025-11-13,27/06/2025,11,540100,11.10,11.10,11,22100,8700,0.1
2025-11-13,26/06/2025,11.05,420200,10.95,11.10,10.85,6500,8000,-0.0
2025-11-13,25/06/2025,10.95,353600,10.90,11.05,10.90,14400,0,0.2
2025-11-13,24/06/2025,11,310400,11.05,11.10,10.90,0,33200,-0.4
