date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.30,2000,8.30,8.30,8.20,0,0,0
2025-11-13,11/11/2025,8.30,4800,8.30,8.30,8.20,0,0,0
2025-11-13,10/11/2025,8.30,3300,8.30,8.30,8.30,0,0,0
2025-11-13,07/11/2025,8.40,2600,8.40,8.40,8.40,0,0,0
2025-11-13,06/11/2025,8.40,900,8.40,8.40,8.40,0,0,0
2025-11-13,05/11/2025,8.30,500,8.30,8.30,8.30,0,0,0
2025-11-13,04/11/2025,8.30,25000,8.40,8.60,8.20,0,0,0
2025-11-13,03/11/2025,8.30,2800,8.30,8.30,8.30,0,0,0
2025-11-13,31/10/2025,8.40,36400,8.40,8.40,8.30,0,0,0
2025-11-13,30/10/2025,8.30,10200,8.50,8.50,8.30,0,0,0
2025-11-13,29/10/2025,8.50,14900,8.20,8.50,8.20,0,0,0
2025-11-13,28/10/2025,8.40,17100,8.20,8.40,8.20,0,0,0
2025-11-13,27/10/2025,8.30,6300,8.30,8.40,8.30,0,0,0
2025-11-13,24/10/2025,8.20,3300,8.10,8.30,8.10,0,0,0
2025-11-13,23/10/2025,8.20,14300,8.40,8.40,8.10,0,0,0
2025-11-13,22/10/2025,8.20,26900,8.30,8.40,8.10,0,0,0
2025-11-13,21/10/2025,8.50,17600,8.50,8.60,8.20,0,0,0
2025-11-13,20/10/2025,8.40,28900,8.80,8.80,8.40,0,200,-0.0
2025-11-13,17/10/2025,8.70,107900,8.60,9.30,8.60,0,0,0
2025-11-13,16/10/2025,8.50,1100,8.50,8.50,8.50,0,0,0
2025-11-13,15/10/2025,8.50,1700,8.60,8.60,8.50,0,0,0
2025-11-13,14/10/2025,8.60,8500,8.50,8.60,8.40,0,0,0
2025-11-13,13/10/2025,8.50,16200,8.50,8.50,8.50,0,0,0
2025-11-13,10/10/2025,8.50,10300,8.50,8.50,8.50,0,0,0
2025-11-13,09/10/2025,8.50,2000,8.50,8.50,8.50,0,0,0
2025-11-13,08/10/2025,8.50,17300,8.50,8.60,8.50,0,0,0
2025-11-13,07/10/2025,8.50,3500,8.50,8.50,8.50,0,0,0
2025-11-13,06/10/2025,8.60,300,8.50,8.60,8.50,0,0,0
2025-11-13,03/10/2025,8.50,27900,8.40,8.50,8.40,0,0,0
2025-11-13,02/10/2025,8.50,22200,8.50,8.60,8.50,0,0,0
2025-11-13,01/10/2025,8.50,4600,8.40,8.50,8.40,0,0,0
2025-11-13,30/09/2025,8.40,10100,8.40,8.40,8.30,0,0,0
2025-11-13,29/09/2025,8.50,6000,8.50,8.50,8.40,0,0,0
2025-11-13,26/09/2025,8.50,9600,8.40,8.50,8.40,0,0,0
2025-11-13,25/09/2025,8.50,6200,8.40,8.50,8.40,0,0,0
2025-11-13,24/09/2025,8.50,2900,8.40,8.50,8.40,0,0,0
2025-11-13,23/09/2025,8.30,400,8.50,8.50,8.30,0,0,0
2025-11-13,22/09/2025,8.40,400,8.40,8.40,8.40,0,0,0
2025-11-13,19/09/2025,8.40,4300,8.40,8.40,8.40,0,0,0
2025-11-13,18/09/2025,8.30,5300,8.50,8.50,8.30,0,0,0
2025-11-13,17/09/2025,8.50,7900,8.40,8.50,8.40,0,0,0
2025-11-13,16/09/2025,8.50,13100,8.40,8.50,8.40,0,0,0
2025-11-13,15/09/2025,8.40,18800,8.50,8.50,8.40,0,0,0
2025-11-13,12/09/2025,8.40,33000,8.40,8.60,8.40,0,0,0
2025-11-13,11/09/2025,8.40,8800,8.40,8.40,8.30,0,0,0
2025-11-13,10/09/2025,8.40,6500,8.40,8.50,8.40,0,0,0
2025-11-13,09/09/2025,8.40,12700,8.50,8.50,8.30,0,0,0
2025-11-13,08/09/2025,8.40,26000,8.50,8.50,8.40,0,0,0
2025-11-13,05/09/2025,8.50,6300,8.60,8.60,8.50,0,0,0
2025-11-13,04/09/2025,8.60,41300,8.60,8.60,8.40,0,0,0
2025-11-13,03/09/2025,8.60,40300,8.40,8.60,8.30,0,0,0
2025-11-13,29/08/2025,8.40,38300,8.40,8.40,8.30,0,0,0
2025-11-13,28/08/2025,8.40,3300,8.40,8.40,8.40,0,0,0
2025-11-13,27/08/2025,8.40,5800,8.50,8.50,8.40,0,0,0
2025-11-13,26/08/2025,8.50,38200,8.50,8.60,8.50,0,0,0
2025-11-13,25/08/2025,8.40,23100,8.30,8.50,8.30,0,0,0
2025-11-13,22/08/2025,8.30,64900,8.50,8.50,8.30,0,0,0
2025-11-13,21/08/2025,8.50,30600,8.50,8.60,8.40,0,0,0
2025-11-13,20/08/2025,8.60,25200,8.70,8.70,8.50,0,200,-0.0
2025-11-13,19/08/2025,8.60,10200,8.70,8.70,8.60,0,0,0
2025-11-13,18/08/2025,8.50,20600,8.60,8.60,8.50,0,0,0
2025-11-13,15/08/2025,8.50,11100,8.50,8.50,8.40,0,0,0
2025-11-13,14/08/2025,8.50,13800,8.50,8.50,8.50,0,0,0
2025-11-13,13/08/2025,8.50,18100,8.50,8.50,8.50,0,0,0
2025-11-13,12/08/2025,8.50,19300,8.60,8.60,8.50,0,0,0
2025-11-13,11/08/2025,8.50,25300,8.50,8.60,8.50,0,0,0
