date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,31.50,20300,31.10,31.50,30.60,700,100,0.0
2025-11-13,11/11/2025,31,25100,31,31.30,30,300,1100,-0.0
2025-11-13,10/11/2025,31,32900,31.40,31.40,30.40,200,900,-0.0
2025-11-13,07/11/2025,31.40,18100,31.80,31.80,31,0,0,0
2025-11-13,06/11/2025,31.50,13200,31.30,31.50,30.70,0,400,-0.0
2025-11-13,05/11/2025,31,24400,30.50,31,30.30,0,0,0
2025-11-13,04/11/2025,30.40,30100,29.80,30.50,29,300,300,-0
2025-11-13,03/11/2025,29.80,56600,30,30,28.70,500,500,0.0
2025-11-13,31/10/2025,29.90,29100,30.70,30.80,29.90,0,300,-0.0
2025-11-13,30/10/2025,30.60,97300,30.80,32.10,30,700,1000,-0.0
2025-11-13,29/10/2025,30.80,105000,32.50,33,30.80,0,0,0
2025-11-13,28/10/2025,32.40,80400,32,32.50,30.80,100,300,-0.0
2025-11-13,27/10/2025,31.90,210400,30.90,32.50,30.90,0,100,-0.0
2025-11-13,24/10/2025,30.80,107700,29,30.80,29,300,300,0
2025-11-13,23/10/2025,29,132000,27.90,29.60,27.90,600,20800,-0.6
2025-11-13,22/10/2025,27.80,4700,27.40,27.80,27.40,0,1700,-0.0
2025-11-13,21/10/2025,27.30,12600,26.50,27.50,26.10,300,3900,-0.1
2025-11-13,20/10/2025,26.40,2500,26.30,26.80,26.30,0,900,-0.0
2025-11-13,17/10/2025,26.20,11000,26.20,26.50,25.90,0,6700,-0.2
2025-11-13,16/10/2025,26.10,13400,26.80,26.80,26.10,0,5100,-0.1
2025-11-13,15/10/2025,26.70,3900,27,27,26.70,0,1800,-0.0
2025-11-13,14/10/2025,26.90,2500,27.10,27.10,26.90,100,0,0.0
2025-11-13,13/10/2025,27,5800,27.10,27.10,26.70,0,1900,-0.1
2025-11-13,10/10/2025,27,6700,27.30,27.30,27,0,1600,-0.0
2025-11-13,09/10/2025,27.30,7100,27.40,27.40,27.20,0,0,0
2025-11-13,08/10/2025,27.30,19900,27.40,27.40,27,0,8500,-0.2
2025-11-13,07/10/2025,27.30,5900,27.40,27.40,27.20,0,2100,-0.1
2025-11-13,06/10/2025,27.30,14000,27.60,27.70,27,0,8800,-0.2
2025-11-13,03/10/2025,27.40,13800,27.50,27.60,27,0,6800,-0.2
2025-11-13,02/10/2025,27.40,10200,27.40,27.50,27,200,6700,-0.2
2025-11-13,01/10/2025,27.30,2600,27.30,27.30,27.20,0,1400,-0.0
2025-11-13,30/09/2025,27.20,4500,27.60,27.60,27.20,0,1600,-0.0
2025-11-13,29/09/2025,27.50,13600,27.90,27.90,26.70,0,3800,-0.1
2025-11-13,26/09/2025,27.80,8000,27.90,28.30,27.80,0,4400,-0.1
2025-11-13,25/09/2025,27.80,6500,27.60,27.90,27.40,0,100,-0.0
2025-11-13,24/09/2025,27.50,2700,27.50,27.50,27.20,0,0,0
2025-11-13,23/09/2025,27.40,1900,27.40,27.40,27.30,0,0,0
2025-11-13,22/09/2025,27.20,5500,27.30,27.30,27,0,0,0
2025-11-13,19/09/2025,27.20,4100,27.60,27.60,27.20,0,100,-0.0
2025-11-13,18/09/2025,27.50,4500,27.70,27.70,27.50,0,100,-0.0
2025-11-13,17/09/2025,27.60,17400,27.40,27.80,27.30,0,100,-0.0
2025-11-13,16/09/2025,27.30,8000,27.40,27.40,27.10,0,100,-0.0
2025-11-13,15/09/2025,27.30,11800,27.70,27.70,27.30,0,100,-0.0
2025-11-13,12/09/2025,27.60,3500,26.90,27.60,26.70,0,100,-0.0
2025-11-13,11/09/2025,26.70,14500,26.40,26.70,26.20,500,300,0.0
2025-11-13,10/09/2025,26.30,9100,25.80,26.50,25.70,1000,100,0.0
2025-11-13,09/09/2025,25.80,600,25.60,25.80,25.60,200,0,0.0
2025-11-13,08/09/2025,25.40,10800,26,26,25.40,300,100,0.0
2025-11-13,05/09/2025,25.80,8700,26.10,26.10,25.80,200,100,0.0
2025-11-13,04/09/2025,26,4300,26.10,26.10,26,0,0,0
2025-11-13,03/09/2025,26,2800,25.90,26,25.80,0,100,-0.0
2025-11-13,29/08/2025,25.90,8900,25.50,25.90,25.50,0,400,-0.0
2025-11-13,28/08/2025,25.50,32700,26.30,26.30,25.50,0,0,0
2025-11-13,27/08/2025,26.20,14700,26.30,26.40,26,0,0,0
2025-11-13,26/08/2025,26.10,7100,26.10,26.10,25.50,200,200,-0
2025-11-13,25/08/2025,26,9800,26.40,26.40,26,0,200,-0.0
2025-11-13,22/08/2025,26.30,9700,26.80,26.90,26.30,0,300,-0.0
2025-11-13,21/08/2025,26.50,4800,26.70,26.70,26.50,0,200,-0.0
2025-11-13,20/08/2025,26.60,25700,26.40,26.70,26.20,0,300,-0.0
2025-11-13,19/08/2025,26.50,21000,27.30,27.30,26.50,0,1100,-0.0
2025-11-13,18/08/2025,27.30,20600,27.80,27.80,27,0,100,-0.0
2025-11-13,15/08/2025,27.80,43600,28.10,28.10,27,0,0,0
2025-11-13,14/08/2025,28.10,10300,28.10,28.10,27.70,0,200,-0.0
2025-11-13,13/08/2025,28,31700,28,28.20,27,500,200,0.0
2025-11-13,12/08/2025,27.90,3700,28,28,27.80,0,0,0
2025-11-13,11/08/2025,28,10800,27.80,28,27.50,600,200,0.0
2025-11-13,08/08/2025,27.80,6800,27.70,27.80,27.60,300,0,0.0
2025-11-13,07/08/2025,27.50,10700,28.10,28.20,27.50,0,800,-0.0
2025-11-13,06/08/2025,28,30100,28.10,28.10,27,0,1700,-0.0
2025-11-13,05/08/2025,28,37400,29,29.20,28,100,0,0.0
2025-11-13,04/08/2025,28.90,12000,29,29,28.20,0,600,-0.0
2025-11-13,01/08/2025,29,136000,29.90,29.90,27.50,300,1300,-0.0
2025-11-13,31/07/2025,29.70,10800,29.90,30.10,29.50,0,600,-0.0
2025-11-13,30/07/2025,29.80,22300,29.70,30.10,29.40,0,200,-0.0
