date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,51.80,80600,51.70,52,51.40,0,30900,-1.6
2025-11-13,11/11/2025,51.90,78300,51.80,51.90,51.30,0,49600,-2.6
2025-11-13,10/11/2025,51.60,85600,51.70,51.90,51.50,0,26900,-1.4
2025-11-13,07/11/2025,51.60,92600,53,53,51.60,400,20000,-1.0
2025-11-13,06/11/2025,53,40400,52.30,53.10,52.10,1400,6600,-0.3
2025-11-13,05/11/2025,52.30,57200,52.10,52.30,51.90,6500,4200,0.1
2025-11-13,04/11/2025,52.10,168200,52.30,52.80,51.60,1600,45400,-2.3
2025-11-13,03/11/2025,52.50,138800,53,53.50,52.50,2700,10800,-0.4
2025-11-13,31/10/2025,53.50,244300,53.80,53.80,53,11000,19200,-0.4
2025-11-13,30/10/2025,54,383400,54.80,56,53.30,40400,132300,-4.9
2025-11-13,29/10/2025,54.40,261400,53.50,54.80,53.30,54600,1600,2.9
2025-11-13,28/10/2025,53.40,56400,53.50,53.50,52.80,200,6000,-0.3
2025-11-13,27/10/2025,53,75200,53.70,53.70,53,15700,1600,0.8
2025-11-13,24/10/2025,53.30,77600,52.90,53.50,52.50,10600,1500,0.5
2025-11-13,23/10/2025,52.50,54600,52.90,52.90,52.30,17300,800,0.9
2025-11-13,22/10/2025,52.50,52200,51.40,52.50,51.40,7300,1300,0.3
2025-11-13,21/10/2025,51.90,146400,51.30,52.20,50.60,11700,500,0.6
2025-11-13,20/10/2025,51.30,309000,52.80,52.80,50.80,1600,83600,-4.2
2025-11-13,17/10/2025,52.80,68900,53,53.30,52.70,4000,6100,-0.1
2025-11-13,16/10/2025,53,44900,52.60,53,52.60,1000,9000,-0.4
2025-11-13,15/10/2025,52.60,299500,53.40,53.60,52.60,1800,59300,-3.0
2025-11-13,14/10/2025,53.40,104900,54.90,54.90,53.30,3400,59500,-3.0
2025-11-13,13/10/2025,54.40,206000,53.50,54.70,53.50,95600,3100,5.0
2025-11-13,10/10/2025,54.20,173600,53.70,54.40,53.70,36800,3100,1.8
2025-11-13,09/10/2025,53.70,31800,53.60,54,53.60,0,0,0
2025-11-13,08/10/2025,53.60,156600,54,54,53.30,49300,64800,-0.8
2025-11-13,07/10/2025,53.60,70700,54.20,54.20,53.60,9800,20100,-0.6
2025-11-13,06/10/2025,53.90,253900,54,54.80,52.70,51200,7800,2.3
2025-11-13,03/10/2025,53.30,82700,53.90,54,53.10,1200,12700,-0.6
2025-11-13,02/10/2025,54,156800,53.20,54.50,53.20,44100,0,2.4
2025-11-13,01/10/2025,53.20,97000,53.10,53.30,52.70,6300,30400,-1.3
2025-11-13,30/09/2025,52.70,143600,53,53.60,52.10,47300,46700,0.0
2025-11-13,29/09/2025,52.90,104600,53.30,53.30,52.30,3300,35500,-1.7
2025-11-13,26/09/2025,53,73700,53,53.30,52.90,3400,26900,-1.2
2025-11-13,25/09/2025,53,68600,53,53.50,53,10100,19800,-0.5
2025-11-13,24/09/2025,53,71100,53,53.30,52.70,100,35900,-1.9
2025-11-13,23/09/2025,53.10,61400,53.80,53.80,53.10,100,30100,-1.6
2025-11-13,22/09/2025,53.80,158600,53.80,53.80,52.60,3200,24200,-1.1
2025-11-13,19/09/2025,53.80,81000,53.30,54,53.10,3300,7300,-0.2
2025-11-13,18/09/2025,53.20,121100,54.50,54.60,53.10,5700,21200,-0.8
2025-11-13,17/09/2025,54.20,143700,55.20,55.20,53.90,800,14100,-0.7
2025-11-13,16/09/2025,55.30,236600,55.40,55.70,54.40,103000,11900,5.0
2025-11-13,15/09/2025,55.40,276400,53.30,55.40,53.10,34500,23400,0.6
2025-11-13,12/09/2025,53.10,232000,52.80,53.80,52.50,13400,88600,-4.0
2025-11-13,11/09/2025,52.90,196100,53.40,53.40,52,6000,66200,-3.2
2025-11-13,10/09/2025,53,280500,53.80,53.80,53,100,79600,-4.2
2025-11-13,09/09/2025,53.70,100900,53.90,53.90,53,100,27300,-1.5
2025-11-13,08/09/2025,53.10,347300,54.80,55.10,53,13200,35600,-1.2
2025-11-13,05/09/2025,55,491400,57,58.50,55,4100,45100,-2.3
2025-11-13,04/09/2025,56.90,903300,54.50,57.10,53.80,96100,33000,3.4
2025-11-13,03/09/2025,53.80,303700,52.80,54.50,52.50,46900,31200,0.8
2025-11-13,29/08/2025,52.40,96900,52.90,52.90,52.40,15200,0,0.8
2025-11-13,28/08/2025,52.70,146200,53.10,53.30,52.30,11200,2200,0
2025-11-13,27/08/2025,53,160700,53.30,53.60,52.80,22400,0,1.2
2025-11-13,26/08/2025,53,115700,52.20,53,52,2900,500,0.1
2025-11-13,25/08/2025,52.20,108200,52.30,52.80,52,17400,3800,0.7
2025-11-13,22/08/2025,52.20,200100,51.80,52.40,51.70,42000,3300,2.0
2025-11-13,21/08/2025,51.80,359500,52.90,52.90,51.80,700,214200,-11.1
2025-11-13,20/08/2025,52.40,220200,52.70,53.10,51.90,21700,6000,0.8
2025-11-13,19/08/2025,52.70,279500,52,53.30,51.90,3900,8300,-0.2
2025-11-13,18/08/2025,52.30,189100,52.30,52.40,52,2300,6900,-0.2
2025-11-13,15/08/2025,52.30,246600,53,53.10,52,9100,30300,-1.1
2025-11-13,14/08/2025,53.20,197500,53.30,53.30,52.70,10300,61900,-2.7
2025-11-13,13/08/2025,53.30,268500,54.20,54.50,52.90,10200,38900,-1.5
2025-11-13,12/08/2025,54.20,386600,53.10,54.30,52.90,24900,15700,0.5
2025-11-13,11/08/2025,52.80,347500,52.20,53.20,52.20,67600,136500,-3.6
2025-11-13,08/08/2025,52.10,206700,52.20,52.30,51.70,300,75400,-3.9
2025-11-13,07/08/2025,52.20,143200,52.20,52.60,52.10,600,38000,-2.0
2025-11-13,06/08/2025,52.10,338200,51.40,52.50,51.20,53700,76800,-1.2
2025-11-13,05/08/2025,51.60,286600,52.80,52.80,50.10,10000,5200,0.2
