date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.20,1300,10.40,10.40,10,0,0,0
2025-11-13,11/11/2025,10.10,3800,10.40,10.40,10.10,0,0,0
2025-11-13,10/11/2025,10.20,2300,10.50,10.50,10.20,0,0,0
2025-11-13,07/11/2025,10.50,2200,10.50,10.50,10.50,0,0,0
2025-11-13,06/11/2025,10.50,1200,10.70,10.70,10.50,0,0,0
2025-11-13,05/11/2025,10.50,200,10.80,10.80,10.50,0,0,0
2025-11-13,04/11/2025,9.60,2100,9.60,9.60,9.60,0,0,0
2025-11-13,03/11/2025,9.90,500,10.10,10.10,9.90,0,0,0
2025-11-13,31/10/2025,10,7500,10,10,9.60,0,0,0
2025-11-13,30/10/2025,10.20,300,10.60,10.60,10.20,0,0,0
2025-11-13,29/10/2025,10.70,300,10.90,10.90,10.50,0,0,0
2025-11-13,28/10/2025,9.60,100,9.60,9.60,9.60,0,0,0
2025-11-13,27/10/2025,9.60,400,9.60,9.60,9.60,0,0,0
2025-11-13,24/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,23/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,22/10/2025,10.90,100,10.90,10.90,10.90,0,0,0
2025-11-13,21/10/2025,9.80,300,9.80,9.80,9.80,0,0,0
2025-11-13,20/10/2025,10,0,10,10,10,0,0,0
2025-11-13,17/10/2025,10,0,10,10,10,0,0,0
2025-11-13,16/10/2025,9.90,1500,10,10,9.90,0,0,0
2025-11-13,15/10/2025,10.20,0,10.20,10.20,10.20,0,0,0
2025-11-13,14/10/2025,10.10,3600,10.20,10.20,10.10,0,0,0
2025-11-13,13/10/2025,10.10,0,10.10,10.10,10.10,0,0,0
2025-11-13,10/10/2025,10.20,9200,10.10,10.30,10,0,0,0
2025-11-13,09/10/2025,10.60,600,10.30,10.60,10.30,0,0,0
2025-11-13,08/10/2025,10.20,0,10.20,10.20,10.20,0,0,0
2025-11-13,07/10/2025,10.20,3600,10,10.30,10,0,0,0
2025-11-13,06/10/2025,10,400,10,10,10,0,0,0
2025-11-13,03/10/2025,10,1000,10,10,10,0,0,0
2025-11-13,02/10/2025,10.20,1100,10.20,10.20,10.20,0,0,0
2025-11-13,01/10/2025,10.20,0,10.20,10.20,10.20,0,0,0
2025-11-13,30/09/2025,10.20,0,10.20,10.20,10.20,0,0,0
2025-11-13,29/09/2025,10,1300,10.60,10.80,10,0,0,0
2025-11-13,26/09/2025,10,600,10,10,10,0,0,0
2025-11-13,25/09/2025,9.60,7100,10,10.10,9.50,0,0,0
2025-11-13,24/09/2025,10.70,0,10.70,10.70,10.70,0,0,0
2025-11-13,23/09/2025,10.70,600,10.60,10.70,10.60,0,0,0
2025-11-13,22/09/2025,10.70,600,10.70,10.70,10.70,0,0,0
2025-11-13,19/09/2025,10.60,1000,10.80,10.80,10.60,0,0,0
2025-11-13,18/09/2025,10.50,1000,10.80,10.80,10.50,0,0,0
2025-11-13,17/09/2025,11.40,200,11.20,11.40,11.20,0,0,0
2025-11-13,16/09/2025,11.20,1400,11.20,11.20,11.20,0,0,0
2025-11-13,15/09/2025,11.20,200,11.10,11.20,11.10,0,0,0
2025-11-13,12/09/2025,11.10,100,11.10,11.10,11.10,0,0,0
2025-11-13,11/09/2025,11.20,1600,10.80,11.20,10,0,0,0
2025-11-13,10/09/2025,11.20,2700,11.20,11.20,10.10,0,0,0
2025-11-13,09/09/2025,11.10,3600,13,13,11.10,0,0,0
2025-11-13,08/09/2025,13,100,13,13,13,0,0,0
2025-11-13,05/09/2025,12.60,1100,13.10,13.10,12.40,0,0,0
2025-11-13,04/09/2025,11.50,1200,11.60,11.60,10.60,0,0,0
2025-11-13,03/09/2025,10,4000,10.30,10.30,10,0,0,0
2025-11-13,29/08/2025,11.20,700,11.20,11.20,11.20,0,0,0
2025-11-13,28/08/2025,10.50,500,10.40,10.50,10.40,0,0,0
2025-11-13,27/08/2025,10.50,1000,11.30,11.30,10.50,0,0,0
2025-11-13,26/08/2025,10.10,600,10.10,10.10,10.10,0,0,0
2025-11-13,25/08/2025,10,1300,10.70,10.70,10,0,0,0
2025-11-13,22/08/2025,10.70,0,10.70,10.70,10.70,0,0,0
2025-11-13,21/08/2025,10.70,200,10.70,10.70,10.70,0,0,0
2025-11-13,20/08/2025,11,700,10.60,11,10.60,0,0,0
2025-11-13,19/08/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,18/08/2025,10.80,200,10.90,10.90,10.80,0,0,0
2025-11-13,15/08/2025,10.80,1100,10.70,10.80,10.70,0,0,0
2025-11-13,14/08/2025,10.70,1000,10.70,10.70,10.70,0,0,0
2025-11-13,13/08/2025,10.80,600,10.60,10.80,10.60,0,0,0
2025-11-13,12/08/2025,10.50,300,10.50,10.50,10.50,0,0,0
