date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.90,9000,8.80,8.90,8.80,0,0,0
2025-11-13,11/11/2025,8.50,900,8.50,8.50,8.50,0,0,0
2025-11-13,10/11/2025,8.50,700,8.50,8.50,8.50,0,0,0
2025-11-13,07/11/2025,8.80,100,8.80,8.80,8.80,0,0,0
2025-11-13,06/11/2025,8.90,0,8.90,8.90,8.90,0,0,0
2025-11-13,05/11/2025,8.90,100,8.90,8.90,8.90,0,0,0
2025-11-13,04/11/2025,8.50,700,8.50,8.50,8.50,0,200,-0.0
2025-11-13,03/11/2025,8.50,0,8.50,8.50,8.50,0,0,0
2025-11-13,31/10/2025,8.50,300,8.50,8.50,8.50,0,0,0
2025-11-13,30/10/2025,7.80,200,7.80,7.80,7.80,0,0,0
2025-11-13,29/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,28/10/2025,8.60,500,8.60,8.60,8.60,0,0,0
2025-11-13,27/10/2025,8.60,200,8.60,8.60,8.60,0,200,-0.0
2025-11-13,24/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,23/10/2025,8.60,15600,8.60,8.60,8.60,0,15000,-0.1
2025-11-13,22/10/2025,8.60,1500,8.60,8.60,8.60,0,0,0
2025-11-13,21/10/2025,8.60,7300,8.50,8.60,8.50,0,2300,-0.0
2025-11-13,20/10/2025,8.50,10100,8.50,8.50,8.50,0,0,0
2025-11-13,17/10/2025,8.50,300,8.80,8.80,8.50,0,0,0
2025-11-13,16/10/2025,8,2300,8.50,8.50,8,0,0,0
2025-11-13,15/10/2025,8.50,10700,8.50,8.50,8.50,0,0,0
2025-11-13,14/10/2025,8.50,2000,8.50,8.50,8.50,0,0,0
2025-11-13,13/10/2025,8.50,22700,8.50,8.50,8.50,2500,0,0.0
2025-11-13,10/10/2025,8.80,26500,8.50,8.80,8.50,0,0,0
2025-11-13,09/10/2025,8,200,7.80,8,7.80,0,0,0
2025-11-13,08/10/2025,7.30,300,7.30,7.30,7.30,0,0,0
2025-11-13,07/10/2025,7.70,400,8.40,8.40,7.70,0,0,0
2025-11-13,06/10/2025,8.40,37100,8.40,8.40,8.40,0,0,0
2025-11-13,03/10/2025,7.70,0,7.70,7.70,7.70,0,0,0
2025-11-13,02/10/2025,7.70,8900,8.10,8.30,7.70,0,0,0
2025-11-13,01/10/2025,7.60,6300,7.70,8.30,7.50,0,0,0
2025-11-13,30/09/2025,7.60,300,8,8.10,7.60,0,0,0
2025-11-13,29/09/2025,8,2000,8.40,8.40,8,0,0,0
