date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.84,59400,8.60,8.85,8.01,0,3800,-0.0
2025-11-13,11/11/2025,8.60,12800,8.56,8.74,8.40,0,2600,-0.0
2025-11-13,10/11/2025,8.56,4800,8.50,8.85,8.50,0,0,0
2025-11-13,07/11/2025,8.87,1100,8.46,8.87,8.45,0,0,0
2025-11-13,06/11/2025,8.89,14200,8.40,9,8.40,0,0,0
2025-11-13,05/11/2025,9,152900,8.85,9,8.85,0,0,0
2025-11-13,04/11/2025,8.85,117100,8.51,8.85,8.37,8200,0,0.1
2025-11-13,03/11/2025,8.60,49800,8.70,8.70,8.60,0,0,0
2025-11-13,31/10/2025,8.70,18900,8.78,8.78,8.60,0,4900,-0.0
2025-11-13,30/10/2025,8.78,31800,8.90,8.90,8.56,0,0,0
2025-11-13,29/10/2025,8.80,20000,9,9,8.52,0,4400,-0.0
2025-11-13,28/10/2025,8.60,59600,8.65,8.89,8.45,5100,0,0.0
2025-11-13,27/10/2025,8.68,19200,8.77,8.78,8.65,0,900,-0.0
2025-11-13,24/10/2025,8.80,11500,8.90,8.90,8.36,0,2800,-0.0
2025-11-13,23/10/2025,8.90,36900,8.91,8.91,8.30,0,0,0
2025-11-13,22/10/2025,8.91,23100,8.87,9.35,8.44,600,1000,-0.0
2025-11-13,21/10/2025,8.87,79800,9.29,9.29,8.26,3200,0,0.0
2025-11-13,20/10/2025,8.84,145000,9.30,9.60,8.84,0,1000,-0.0
2025-11-13,17/10/2025,9.50,93400,9.42,9.57,9.30,1000,1000,-0
2025-11-13,16/10/2025,9.42,156200,9.45,9.47,9.36,0,0,0
2025-11-13,15/10/2025,9.45,14000,9.50,9.52,9.45,0,3000,-0.0
2025-11-13,14/10/2025,9.50,60300,9.60,9.69,9.42,0,3700,-0.0
2025-11-13,13/10/2025,9.55,40900,9.50,9.57,9.45,0,0,0
2025-11-13,10/10/2025,9.65,130400,9.55,9.80,9.44,0,0,0
2025-11-13,09/10/2025,9.55,318800,9.80,9.80,9.50,0,0,0
2025-11-13,08/10/2025,9.78,56500,9.86,9.88,9.73,0,300,-0.0
2025-11-13,07/10/2025,9.83,204700,9.82,10.05,9.71,6700,5000,0.0
2025-11-13,06/10/2025,9.82,75900,9.44,9.90,9.40,0,3000,-0.0
2025-11-13,03/10/2025,9.45,73900,9.16,9.45,9.03,0,2800,-0.0
2025-11-13,02/10/2025,9.30,37200,9.38,9.40,9.30,0,4200,-0.0
2025-11-13,01/10/2025,9.38,22500,9.14,9.48,9.14,100,0,0.0
2025-11-13,30/09/2025,9.22,77500,9.40,9.40,9.01,0,700,-0.0
2025-11-13,29/09/2025,9.40,80900,9.54,9.54,8.88,9700,2800,0.1
2025-11-13,26/09/2025,9.54,57500,9.51,9.62,9.51,0,0,0
2025-11-13,25/09/2025,9.52,47900,9.77,9.85,9.48,0,2500,-0.0
2025-11-13,24/09/2025,9.77,47100,9.45,9.80,9.40,0,0,0
2025-11-13,23/09/2025,9.45,58600,9.40,9.65,9.40,0,0,0
2025-11-13,22/09/2025,9.50,117200,9.76,9.76,9.40,2500,0,0.0
2025-11-13,19/09/2025,9.74,43100,9.72,9.80,9.40,0,20100,-0.2
2025-11-13,18/09/2025,9.72,58700,9.73,9.75,9.65,0,0,0
2025-11-13,17/09/2025,9.71,130900,9.85,9.85,9.70,0,0,0
2025-11-13,16/09/2025,9.84,100400,10,10,9.83,0,0,0
2025-11-13,15/09/2025,9.89,166000,9.99,10.20,9.89,0,1600,-0.0
2025-11-13,12/09/2025,9.97,192200,9.81,10,9.70,0,3000,-0.0
2025-11-13,11/09/2025,9.70,347400,9.99,9.99,9.36,0,28800,-0.3
2025-11-13,10/09/2025,9.99,149200,10.40,10.40,9.79,0,0,0
2025-11-13,09/09/2025,10.10,402200,10.30,10.30,9.76,0,0,0
2025-11-13,08/09/2025,10.10,487200,10.15,10.50,10,27900,4400,0.2
2025-11-13,05/09/2025,10,478100,10.65,10.65,10,900,4500,-0.0
2025-11-13,04/09/2025,10.35,424100,11.10,11.10,10,0,25200,-0.3
2025-11-13,03/09/2025,10.70,877700,11.15,11.15,10.50,4400,900,0.0
2025-11-13,29/08/2025,10.45,349100,10.45,10.45,10.45,0,100,-0.0
2025-11-13,28/08/2025,9.79,290100,9.79,9.79,9.79,0,0,0
2025-11-13,27/08/2025,9.15,1035700,9.09,9.15,8.75,30600,7300,0.2
2025-11-13,26/08/2025,8.56,153300,8.40,8.60,8.40,0,0,0
2025-11-13,25/08/2025,8.50,73300,8.63,8.65,8.40,0,0,0
2025-11-13,22/08/2025,8.63,313500,8.75,8.79,8.50,2000,19000,-0.1
2025-11-13,21/08/2025,8.79,340200,8.80,8.89,8.72,0,700,-0.0
2025-11-13,20/08/2025,8.80,331000,8.94,8.99,8.72,0,4100,-0.0
2025-11-13,19/08/2025,8.93,356300,8.99,9.02,8.82,7800,2900,0.0
2025-11-13,18/08/2025,8.89,106600,8.80,8.98,8.80,10500,0,0.1
2025-11-13,15/08/2025,8.80,110800,9.08,9.08,8.79,2000,900,0.0
2025-11-13,14/08/2025,8.98,200500,9.15,9.19,8.95,0,19200,-0.2
2025-11-13,13/08/2025,9,457100,8.90,9.03,8.69,2700,2800,-0.0
2025-11-13,12/08/2025,8.83,268100,8.61,8.85,8.61,900,900,0.0
2025-11-13,11/08/2025,8.70,254100,8.52,8.75,8.52,2900,18600,-0.1
2025-11-13,08/08/2025,8.42,493200,8.68,8.80,8.42,900,1500,-0.0
2025-11-13,07/08/2025,8.68,88800,8.68,8.70,8.62,100,17200,-0.1
2025-11-13,06/08/2025,8.68,198200,8.50,8.71,8.50,5500,0,0.0
2025-11-13,05/08/2025,8.53,280600,8.50,8.70,8.50,13600,0,0.1
2025-11-13,04/08/2025,8.58,201800,8.35,8.60,8.30,700,0,0.0
2025-11-13,01/08/2025,8.35,126400,8.50,8.65,8.35,0,1300,-0.0
