date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,7.80,138500,7.70,7.90,7.70,500,0,0.0
2025-11-13,11/11/2025,7.70,116300,7.80,7.90,7.60,0,0,0
2025-11-13,10/11/2025,7.70,120200,7.80,7.80,7.70,0,0,0
2025-11-13,07/11/2025,7.80,191600,7.90,8,7.70,0,0,0
2025-11-13,06/11/2025,7.90,110500,8,8.10,7.90,0,0,0
2025-11-13,05/11/2025,8,307200,7.80,8.10,7.80,23000,0,0.2
2025-11-13,04/11/2025,8,439500,7.90,8,7.60,0,0,0
2025-11-13,03/11/2025,7.80,301600,7.90,8.10,7.80,600,0,0.0
2025-11-13,31/10/2025,8,386100,8.10,8.20,8,0,0,0
2025-11-13,30/10/2025,8.20,704600,7.80,8.20,7.70,1000,0,0.0
2025-11-13,29/10/2025,7.80,143300,7.70,7.80,7.60,0,0,0
2025-11-13,28/10/2025,7.70,141600,7.50,7.70,7.50,0,0,0
2025-11-13,27/10/2025,7.60,87800,7.60,7.60,7.40,0,0,0
2025-11-13,24/10/2025,7.50,133700,7.60,7.70,7.50,0,0,0
2025-11-13,23/10/2025,7.60,59200,7.70,7.70,7.50,0,0,0
2025-11-13,22/10/2025,7.60,223000,7.50,7.70,7.30,0,0,0
2025-11-13,21/10/2025,7.50,325100,7.50,7.60,7.20,800,0,0.0
2025-11-13,20/10/2025,7.50,491300,7.90,7.90,7.30,0,0,0
2025-11-13,17/10/2025,7.90,354800,7.90,8.10,7.80,0,0,0
2025-11-13,16/10/2025,7.90,197500,7.90,8,7.80,0,0,0
2025-11-13,15/10/2025,7.90,373800,7.90,8,7.80,0,0,0
2025-11-13,14/10/2025,8,378100,8.20,8.20,7.90,0,0,0
2025-11-13,13/10/2025,8.20,136500,8.20,8.20,8,0,300,-0.0
2025-11-13,10/10/2025,8.20,308900,8.20,8.30,8.10,0,0,0
2025-11-13,09/10/2025,8.20,228500,8.20,8.20,8.10,0,0,0
2025-11-13,08/10/2025,8.20,246100,8.20,8.30,8.10,500,0,0.0
2025-11-13,07/10/2025,8.10,212800,8.30,8.30,8,0,0,0
2025-11-13,06/10/2025,8.30,272200,8,8.40,8,0,0,0
2025-11-13,03/10/2025,8,790400,8.10,8.10,7.90,600,0,0.0
2025-11-13,02/10/2025,8.10,141700,8.20,8.30,8.10,0,0,0
2025-11-13,01/10/2025,8.20,228400,8.20,8.30,8,0,0,0
2025-11-13,30/09/2025,8.20,280700,8.30,8.30,8,500,0,0.0
2025-11-13,29/09/2025,8.20,409400,8.30,8.40,8.10,0,0,0
2025-11-13,26/09/2025,8.20,1032800,8.50,8.60,8.10,0,0,0
2025-11-13,25/09/2025,8.50,515800,8.60,8.70,8.40,600,0,0.0
2025-11-13,24/09/2025,8.60,229100,8.50,8.60,8.40,0,0,0
2025-11-13,23/09/2025,8.60,236100,8.50,8.60,8.40,200,0,0.0
2025-11-13,22/09/2025,8.60,459500,8.70,8.70,8.40,0,0,0
2025-11-13,19/09/2025,8.70,454800,8.80,9,8.60,0,0,0
2025-11-13,18/09/2025,8.80,574400,8.80,8.90,8.60,0,1600,-0.0
2025-11-13,17/09/2025,8.80,973200,8.90,9.20,8.60,0,0,0
2025-11-13,16/09/2025,8.90,616900,9.10,9.30,8.80,0,0,0
2025-11-13,15/09/2025,9.10,2374200,8.70,9.40,8.70,1800,5500,-0.0
2025-11-13,12/09/2025,8.60,545400,8.50,8.80,8.50,0,200,-0.0
2025-11-13,11/09/2025,8.40,762800,8.40,8.50,8.10,0,0,0
2025-11-13,10/09/2025,8.40,214700,8.40,8.40,8.20,100,0,0.0
2025-11-13,09/09/2025,8.40,460700,8.60,8.60,8.20,1000,0,0.0
2025-11-13,08/09/2025,8.40,826100,8.70,8.80,8.40,0,700,-0.0
2025-11-13,05/09/2025,8.70,1253500,9,9.10,8.60,400,3400,-0.0
2025-11-13,04/09/2025,9,1770400,8.60,9.10,8.30,0,0,0
