date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,5,0,5,5,5,0,0,0
2025-11-13,11/11/2025,5,3300,5,5,5,0,0,0
2025-11-13,10/11/2025,5.20,600,5.10,5.20,5.10,0,0,0
2025-11-13,07/11/2025,5.10,1300,5.20,5.20,4.70,0,0,0
2025-11-13,06/11/2025,5.10,100,5.10,5.10,5.10,0,0,0
2025-11-13,05/11/2025,5,0,5,5,5,0,0,0
2025-11-13,04/11/2025,5,100,5,5,5,0,0,0
2025-11-13,03/11/2025,5.10,400,5,5.10,5,0,0,0
2025-11-13,31/10/2025,5,3000,5,5,5,0,0,0
2025-11-13,30/10/2025,5.10,100,5.10,5.10,5.10,0,0,0
2025-11-13,29/10/2025,4.90,1100,4.50,4.90,4.40,0,0,0
2025-11-13,28/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,27/10/2025,4.80,1200,4.80,4.80,4.80,0,0,0
2025-11-13,24/10/2025,5,100,5,5,5,0,0,0
2025-11-13,23/10/2025,4.90,900,4.90,4.90,4.90,0,0,0
2025-11-13,22/10/2025,5.20,2000,5.10,5.20,5.10,0,0,0
2025-11-13,21/10/2025,5.10,300,5.10,5.20,5.10,0,0,0
2025-11-13,20/10/2025,4.80,3100,4.70,4.80,4.70,0,800,-0.0
2025-11-13,17/10/2025,4.70,300,4.80,4.80,4.70,0,200,-0.0
2025-11-13,16/10/2025,4.90,200,4.90,4.90,4.90,0,0,0
2025-11-13,15/10/2025,4.90,100,4.90,4.90,4.90,0,0,0
2025-11-13,14/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,13/10/2025,4.80,600,4.60,4.80,4.60,0,0,0
2025-11-13,10/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,09/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,08/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,07/10/2025,5.10,100,5.10,5.10,5.10,0,0,0
2025-11-13,06/10/2025,5.20,3900,4.90,5.20,4.90,0,0,0
2025-11-13,03/10/2025,4.90,200,4.90,4.90,4.90,0,0,0
2025-11-13,02/10/2025,4.70,200,4.70,4.70,4.70,0,0,0
2025-11-13,01/10/2025,4.90,2500,4.90,4.90,4.90,0,0,0
2025-11-13,30/09/2025,5.10,100,5.10,5.10,5.10,0,0,0
2025-11-13,29/09/2025,5.20,0,5.20,5.20,5.20,0,0,0
2025-11-13,26/09/2025,5.20,4600,4.70,5.20,4.70,0,0,0
2025-11-13,25/09/2025,5.20,400,5.10,5.20,5.10,0,0,0
2025-11-13,24/09/2025,5.10,5400,4.70,5.10,4.70,1000,0,0.0
2025-11-13,23/09/2025,4.70,900,4.70,4.90,4.60,0,0,0
2025-11-13,22/09/2025,4.70,9700,5,5,4.70,0,0,0
2025-11-13,19/09/2025,5.10,4600,4.80,5.10,4.70,0,0,0
2025-11-13,18/09/2025,5.20,3500,5.20,5.20,5.10,0,0,0
2025-11-13,17/09/2025,5.10,6600,5,5.20,5,0,0,0
2025-11-13,16/09/2025,5.40,200,5.40,5.40,5.40,0,0,0
2025-11-13,15/09/2025,5.10,32100,5.60,5.80,5.10,0,0,0
2025-11-13,12/09/2025,5.60,45400,5.40,5.60,5.30,0,0,0
2025-11-13,11/09/2025,5.40,19300,5.20,5.40,5,0,0,0
