date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,11/11/2025,10.80,4700,10.80,10.80,10.80,0,0,0
2025-11-13,10/11/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,07/11/2025,10.80,100,10.80,10.80,10.80,0,0,0
2025-11-13,06/11/2025,10.80,5100,10.80,10.80,10.80,0,0,0
2025-11-13,05/11/2025,11.10,0,11.10,11.10,11.10,0,0,0
2025-11-13,04/11/2025,11.10,100,11.10,11.10,11.10,0,0,0
2025-11-13,03/11/2025,10.30,0,10.30,10.30,10.30,0,0,0
2025-11-13,31/10/2025,10.30,0,10.30,10.30,10.30,0,0,0
2025-11-13,30/10/2025,10.30,0,10.30,10.30,10.30,0,0,0
2025-11-13,29/10/2025,10.80,3100,10,10.80,10,0,0,0
2025-11-13,28/10/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,27/10/2025,10.80,100,10.80,10.80,10.80,0,0,0
2025-11-13,24/10/2025,10.40,400,9.10,10.40,9.10,0,0,0
2025-11-13,23/10/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,22/10/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,21/10/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,20/10/2025,10,300,11.10,11.10,10,0,0,0
2025-11-13,17/10/2025,10.80,200,10.80,10.80,10.80,0,0,0
2025-11-13,16/10/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,15/10/2025,10.80,600,10.80,10.80,10.80,0,0,0
2025-11-13,14/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,13/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
