date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,3.70,2600,3.70,3.70,3.70,0,0,0
2025-11-13,11/11/2025,3.70,23800,3.80,3.80,3.50,0,0,0
2025-11-13,10/11/2025,3.80,40200,3.80,3.90,3.60,0,0,0
2025-11-13,07/11/2025,4,100,4,4,4,0,0,0
2025-11-13,06/11/2025,3.90,0,3.90,3.90,3.90,0,0,0
2025-11-13,05/11/2025,3.90,2100,3.80,4,3.80,0,0,0
2025-11-13,04/11/2025,3.80,500,3.80,3.80,3.80,0,0,0
2025-11-13,03/11/2025,3.80,4700,3.90,3.90,3.80,0,0,0
2025-11-13,31/10/2025,3.90,5000,3.90,3.90,3.90,0,0,0
2025-11-13,30/10/2025,3.90,3600,3.90,3.90,3.90,0,0,0
2025-11-13,29/10/2025,3.90,6800,3.90,3.90,3.90,0,0,0
2025-11-13,28/10/2025,3.90,700,3.90,3.90,3.80,0,0,0
2025-11-13,27/10/2025,3.90,200,3.80,3.90,3.80,0,0,0
2025-11-13,24/10/2025,3.90,3400,3.80,3.90,3.80,0,0,0
2025-11-13,23/10/2025,3.90,5000,3.90,3.90,3.90,0,0,0
2025-11-13,22/10/2025,3.90,4600,3.80,3.90,3.80,0,0,0
2025-11-13,21/10/2025,3.90,10100,3.80,3.90,3.70,0,0,0
2025-11-13,20/10/2025,3.80,13500,3.90,3.90,3.80,0,0,0
2025-11-13,17/10/2025,3.90,20300,3.80,3.90,3.80,0,0,0
2025-11-13,16/10/2025,4,0,4,4,4,0,0,0
2025-11-13,15/10/2025,4,0,4,4,4,0,0,0
2025-11-13,14/10/2025,4,8000,3.90,4,3.80,0,0,0
2025-11-13,13/10/2025,4,6600,4,4,4,0,0,0
2025-11-13,10/10/2025,4,14200,3.70,4,3.70,0,0,0
2025-11-13,09/10/2025,3.90,1300,3.90,3.90,3.90,0,0,0
2025-11-13,08/10/2025,4,2300,3.90,4,3.90,0,0,0
2025-11-13,07/10/2025,4,400,3.90,4,3.90,0,0,0
2025-11-13,06/10/2025,4,5600,4,4,3.90,0,0,0
