date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,10.20,200,10.20,10.20,10.20,0,0,0,
2025-11-13,11/11/2025,10,1400,9.10,10,9.10,0,0,0,
2025-11-13,10/11/2025,10,4200,10,10,10,0,0,0,
2025-11-13,07/11/2025,9.70,1300,10,10,9.70,0,0,0,
2025-11-13,06/11/2025,9.80,4200,9.60,9.80,9.60,0,0,0,
2025-11-13,05/11/2025,10.30,2700,9.50,10.40,9.50,0,0,0,
2025-11-13,04/11/2025,10.40,2700,9.50,10.40,9.30,0,0,0,
2025-11-13,03/11/2025,10,15500,10.30,10.50,10,0,0,0,
2025-11-13,31/10/2025,10.10,13600,9.90,10.10,9.50,0,0,0,
2025-11-13,30/10/2025,10.50,8300,10.10,10.50,10,0,0,0,
2025-11-13,29/10/2025,10.40,4400,10,10.60,9.90,0,0,0,
2025-11-13,28/10/2025,10,12400,10.70,10.70,9.80,0,0,0,
2025-11-13,27/10/2025,10.80,12700,10.90,11,10.60,0,0,0,
2025-11-13,24/10/2025,10.90,16700,11.50,11.80,10.50,0,0,0,
2025-11-13,23/10/2025,11.20,35500,11.20,11.20,10.30,0,0,0,
2025-11-13,22/10/2025,10.20,11700,10.20,10.20,10.20,0,0,0,
2025-11-13,21/10/2025,9.30,20000,9.30,9.30,9.30,0,0,0,
2025-11-13,20/10/2025,8.50,0,8.50,8.50,8.50,0,0,0,
2025-11-13,17/10/2025,8.50,300,8.50,8.50,8.50,0,0,0,
2025-11-13,16/10/2025,8.50,100,8.50,8.50,8.50,0,0,0,
2025-11-13,15/10/2025,8.50,200,8.30,8.50,8.30,0,0,0,
2025-11-13,14/10/2025,8.50,100,8.50,8.50,8.50,0,0,0,
2025-11-13,13/10/2025,8.30,600,8.40,8.40,8.30,0,0,0,
2025-11-13,10/10/2025,8,4200,8.40,8.40,8,0,0,0,
2025-11-13,09/10/2025,8.40,3200,8.40,8.40,8.40,0,0,0,
2025-11-13,08/10/2025,9.30,4500,8.50,9.30,8.50,0,0,0,
2025-11-13,07/10/2025,9.40,900,9.40,9.40,9.40,0,0,0,
2025-11-13,"06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)","06/10/2025: Quyá»n mua cá» phiáº¿u: 1/1 GiÃ¡: 10 (Volume + 100%, Ratio=1)"
2025-11-13,06/10/2025,9.40,800,9.40,9.40,9.40,0,0,0,
2025-11-13,03/10/2025,9.10,8800,8.80,9.20,8.80,0,0,0,
2025-11-13,02/10/2025,8.90,600,8.10,8.90,8.10,0,0,0,
2025-11-13,01/10/2025,8.40,5600,8.40,8.40,8.40,0,0,0,
2025-11-13,30/09/2025,9.30,1200,9.90,9.90,9.30,0,0,0,
2025-11-13,29/09/2025,9,4100,9.30,9.30,8.60,0,0,0,
2025-11-13,26/09/2025,8.50,44600,7.90,8.50,7.90,0,0,0,
2025-11-13,25/09/2025,7.80,0,7.80,7.80,7.80,0,0,0,
2025-11-13,24/09/2025,7.80,1000,7.80,7.80,7.80,0,0,0,
2025-11-13,23/09/2025,7.80,0,7.80,7.80,7.80,0,0,0,
2025-11-13,22/09/2025,7.80,0,7.80,7.80,7.80,0,0,0,
2025-11-13,19/09/2025,7.80,0,7.80,7.80,7.80,0,0,0,
2025-11-13,18/09/2025,7.80,300,7.90,7.90,7.80,0,0,0,
2025-11-13,17/09/2025,7.80,100,7.80,7.80,7.80,0,0,0,
2025-11-13,16/09/2025,7.20,1500,7.20,7.20,7.20,0,0,0,
2025-11-13,15/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,12/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,11/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,10/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,09/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,08/09/2025,7.50,500,7.50,7.50,7.50,0,0,0,
2025-11-13,05/09/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,04/09/2025,7.50,2900,7.50,7.50,7.50,0,0,0,
2025-11-13,03/09/2025,7.50,5100,7.50,7.50,7.40,0,0,0,
2025-11-13,29/08/2025,7.50,300,7.50,7.50,7.50,0,0,0,
2025-11-13,28/08/2025,7.50,0,7.50,7.50,7.50,0,0,0,
2025-11-13,27/08/2025,7.50,300,7.50,7.50,7.50,0,0,0,
2025-11-13,26/08/2025,7.70,0,7.70,7.70,7.70,0,0,0,
2025-11-13,25/08/2025,7.70,2400,7.20,7.70,7.10,0,0,0,
2025-11-13,22/08/2025,7.10,600,7.10,7.10,7.10,0,0,0,
2025-11-13,21/08/2025,7.30,2400,7.30,7.30,7.30,0,0,0,
2025-11-13,20/08/2025,7.50,1600,7.50,7.50,7.30,0,0,0,
2025-11-13,19/08/2025,7.50,500,7.50,7.50,7.50,0,0,0,
2025-11-13,18/08/2025,7.50,1400,7.50,7.50,7.50,0,0,0,
2025-11-13,15/08/2025,7.50,1400,7.90,7.90,7.50,0,0,0,
2025-11-13,14/08/2025,7.90,100,7.90,7.90,7.90,0,0,0,
2025-11-13,13/08/2025,7.60,0,7.60,7.60,7.60,0,0,0,
2025-11-13,12/08/2025,7.60,2200,7.40,7.80,7.40,0,0,0,
2025-11-13,11/08/2025,7.30,3200,7.50,7.50,7.30,0,0,0,
2025-11-13,08/08/2025,7.30,0,7.30,7.30,7.30,0,0,0,
2025-11-13,07/08/2025,7.30,2600,7.50,7.50,7.30,0,0,0,
2025-11-13,06/08/2025,7.90,4100,7.90,7.90,7.80,0,0,0,
2025-11-13,05/08/2025,7.20,200,7.20,7.20,7.20,0,0,0,
2025-11-13,04/08/2025,7.40,300,7.40,7.40,7.40,0,0,0,
2025-11-13,01/08/2025,7.40,0,7.40,7.40,7.40,0,0,0,
2025-11-13,31/07/2025,7.40,200,7.40,7.40,7.40,0,0,0,
2025-11-13,30/07/2025,7.40,500,7.40,7.40,7.40,0,0,0,
2025-11-13,29/07/2025,7.40,2200,7,7.40,6.90,0,0,0,
2025-11-13,28/07/2025,7,0,7,7,7,0,0,0,
2025-11-13,25/07/2025,7,600,7,7,7,0,0,0,
2025-11-13,24/07/2025,7.40,0,7.40,7.40,7.40,0,0,0,
2025-11-13,23/07/2025,7.40,1300,7.40,7.40,7.40,0,0,0,
2025-11-13,22/07/2025,7.40,2300,7.40,7.40,7.40,0,0,0,
2025-11-13,21/07/2025,6.80,100,6.80,6.80,6.80,0,0,0,
2025-11-13,18/07/2025,7.20,6400,8.80,8.80,7.20,0,0,0,
2025-11-13,17/07/2025,8,5000,8,8,8,0,0,0,
2025-11-13,16/07/2025,8.80,500,8.80,8.80,8.80,0,0,0,
2025-11-13,15/07/2025,8.20,9900,7,8.30,7,0,0,0,
2025-11-13,14/07/2025,7.70,200,7.70,7.70,7.70,0,0,0,
2025-11-13,11/07/2025,7.80,1500,7.80,7.80,7.70,0,0,0,
2025-11-13,10/07/2025,7.20,6600,7.40,7.40,7.20,0,0,0,
2025-11-13,09/07/2025,7.90,400,8,8,7.90,0,0,0,
2025-11-13,08/07/2025,7.30,1000,7.30,7.30,7.30,0,0,0,
2025-11-13,07/07/2025,8,0,8,8,8,0,0,0,
2025-11-13,04/07/2025,8,200,8,8,8,0,0,0,
2025-11-13,03/07/2025,8,1400,6.90,8.20,6.90,0,0,0,
2025-11-13,02/07/2025,7.50,1100,7.30,7.50,7.30,0,0,0,
2025-11-13,01/07/2025,6.90,400,8,8,6.90,0,0,0,
2025-11-13,30/06/2025,7.50,4200,6.90,7.50,6.90,0,0,0,
2025-11-13,27/06/2025,6.90,2500,7.50,7.50,6.30,0,0,0,
2025-11-13,26/06/2025,6.90,100,6.90,6.90,6.90,0,0,0,
2025-11-13,25/06/2025,7.40,0,7.40,7.40,7.40,0,0,0,
2025-11-13,24/06/2025,7.40,700,7.40,7.40,7.40,0,0,0,
