date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,25.80,11100,25.90,25.90,25.60,0,4100,-0.1,
2025-11-13,11/11/2025,25.80,29400,26.10,26.10,25.50,0,100,-0.0,
2025-11-13,10/11/2025,26,17300,26.40,26.40,25.80,0,0,0,
2025-11-13,07/11/2025,26,22700,26,26.20,26,0,0,0,
2025-11-13,06/11/2025,26,9500,26.40,26.40,26,0,0,0,
2025-11-13,05/11/2025,26.10,32300,26.60,26.60,26,0,0,0,
2025-11-13,04/11/2025,26,24600,26.30,26.30,25.50,0,0,0,
2025-11-13,03/11/2025,26.10,27600,26.80,26.80,25.90,0,0,0,
2025-11-13,31/10/2025,26.70,57800,26.60,26.80,26.40,0,0,0,
2025-11-13,30/10/2025,26.60,52100,26.50,27,26.40,0,0,0,
2025-11-13,29/10/2025,26.20,82600,26,26.80,25.60,0,0,0,
2025-11-13,28/10/2025,26,25700,26.20,26.40,26,0,0,0,
2025-11-13,27/10/2025,26.20,29300,26.10,26.20,25.90,0,0,0,
2025-11-13,24/10/2025,26,20600,26.50,26.50,25.60,0,0,0,
2025-11-13,23/10/2025,26,1700,26.90,26.90,25.60,0,100,-0.0,
2025-11-13,22/10/2025,25.80,9700,25.60,25.80,25.40,0,0,0,
2025-11-13,21/10/2025,25.50,23600,26.30,26.30,25.50,100,0,0.0,
2025-11-13,20/10/2025,25.60,44300,26.40,26.40,25.60,0,0,0,
2025-11-13,17/10/2025,26,13300,26.30,26.80,25.60,0,0,0,
2025-11-13,16/10/2025,25.80,23200,25.70,26.30,25.70,0,0,0,
2025-11-13,15/10/2025,25.70,31300,25.80,26.10,25.60,0,0,0,
2025-11-13,14/10/2025,25.80,20000,26.40,26.40,25.80,0,0,0,
2025-11-13,13/10/2025,25.80,56600,26,26.20,25.80,0,0,0,
2025-11-13,10/10/2025,26.10,30600,26.30,26.30,26,0,0,0,
2025-11-13,09/10/2025,26.30,8900,26.40,26.50,26.10,0,0,0,
2025-11-13,08/10/2025,26.10,36500,26.80,26.80,26.10,0,0,0,
2025-11-13,07/10/2025,26.40,20400,26.20,26.70,26.20,0,0,0,
2025-11-13,06/10/2025,26.40,51700,26.30,26.50,26,0,0,0,
2025-11-13,03/10/2025,26.30,8400,26.40,26.40,26,0,0,0,
2025-11-13,02/10/2025,26.50,16400,26.80,26.80,26.20,0,0,0,
2025-11-13,01/10/2025,26.30,11300,26.10,26.60,25.90,0,0,0,
2025-11-13,30/09/2025,26,5100,26.30,26.70,25.90,0,0,0,
2025-11-13,29/09/2025,26.60,15300,26.80,26.80,26.20,0,0,0,
