date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,48.80,4100,44,48.80,43.65,0,0,0
2025-11-13,11/11/2025,46.60,2200,46.80,46.80,46.60,0,1000,-0.0
2025-11-13,10/11/2025,50,0,50,50,50,0,0,0
2025-11-13,07/11/2025,50,0,50,50,50,0,0,0
2025-11-13,06/11/2025,50,201900,46.50,50,46.50,0,200,-0.0
2025-11-13,05/11/2025,47,5800,47,47,47,0,0,0
2025-11-13,04/11/2025,48,10300,42.20,48,42,0,200,-0.0
2025-11-13,03/11/2025,45.10,3000,48,48,45.10,0,0,0
2025-11-13,31/10/2025,48,1200,48,48,48,0,0,0
2025-11-13,30/10/2025,49,400,49,49,49,0,0,0
2025-11-13,29/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,28/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,27/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,24/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,23/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,22/10/2025,52.50,0,52.50,52.50,52.50,0,0,0
2025-11-13,21/10/2025,52.50,300,52.50,52.50,52.50,0,0,0
2025-11-13,20/10/2025,52.50,400,53,53,50,100,0,0.0
2025-11-13,17/10/2025,53,3800,53,53,53,0,0,0
2025-11-13,16/10/2025,51.90,31500,51,52,51,0,0,0
2025-11-13,15/10/2025,52,0,52,52,52,0,0,0
2025-11-13,14/10/2025,52,0,52,52,52,0,0,0
2025-11-13,13/10/2025,52,7300,50.80,52,49,0,0,0
2025-11-13,10/10/2025,51,6600,50,51,50,0,0,0
2025-11-13,09/10/2025,50.20,3500,51,51,50.20,0,0,0
2025-11-13,08/10/2025,51,72100,49,51,49,0,0,0
2025-11-13,07/10/2025,48.80,1500,48.80,48.80,48.80,0,0,0
2025-11-13,06/10/2025,48.50,4000,46.70,48.50,46.70,0,0,0
2025-11-13,03/10/2025,47,34600,47,47,47,0,0,0
2025-11-13,02/10/2025,47.80,500,45.50,47.80,45.50,400,0,0.0
2025-11-13,01/10/2025,48.30,1200,47.10,48.30,45.05,0,0,0
2025-11-13,30/09/2025,48.30,700,48.50,48.50,48.30,0,0,0
2025-11-13,29/09/2025,47.50,15000,47.60,50,47,0,0,0
2025-11-13,26/09/2025,48.70,100,48.70,48.70,48.70,0,0,0
2025-11-13,25/09/2025,48,400,47.50,48,47.50,0,0,0
2025-11-13,24/09/2025,48,39300,47.20,48.30,45.85,0,0,0
2025-11-13,23/09/2025,47,28300,47,47,47,0,0,0
2025-11-13,22/09/2025,47,59200,47,47,47,400,0,0.0
2025-11-13,19/09/2025,47,21900,47,47,47,0,0,0
2025-11-13,18/09/2025,47,33900,47,48.70,47,0,0,0
2025-11-13,17/09/2025,47.30,8500,47.20,49,47.20,0,0,0
2025-11-13,16/09/2025,47.20,62900,48.90,49.20,47.05,200,0,0.0
2025-11-13,15/09/2025,48.90,17300,49,49,47.50,100,0,0.0
2025-11-13,12/09/2025,47,28600,46,48.15,46,0,0,0
2025-11-13,11/09/2025,45,24400,48,49,45,0,0,0
2025-11-13,10/09/2025,48.35,12000,46.80,48.35,46.80,0,0,0
2025-11-13,09/09/2025,46.80,32300,47.95,48,46.20,0,0,0
2025-11-13,08/09/2025,47,25100,45.55,47.20,45.55,100,0,0.0
2025-11-13,05/09/2025,45.30,59900,44.50,47,44.50,0,0,0
2025-11-13,04/09/2025,44.85,10300,46.50,46.50,44.60,0,0,0
2025-11-13,03/09/2025,44.10,15500,46.90,47,44.10,0,0,0
2025-11-13,29/08/2025,44.60,26600,42,44.60,42,100,0,0.0
2025-11-13,28/08/2025,42,69900,40.50,42.20,39.50,0,0,0
2025-11-13,27/08/2025,39.50,20700,39.40,40.70,39.40,0,0,0
2025-11-13,26/08/2025,39.40,1400,39.40,39.40,39.40,0,0,0
2025-11-13,25/08/2025,39.40,2200,39.60,39.60,39.40,0,0,0
2025-11-13,22/08/2025,39.20,2100,39.10,39.20,39.10,0,0,0
2025-11-13,21/08/2025,39.10,17300,39.90,42,39.10,0,0,0
2025-11-13,20/08/2025,39.90,900,39.90,39.90,39.10,0,0,0
2025-11-13,19/08/2025,40,100,40,40,40,0,0,0
2025-11-13,18/08/2025,40,100,40,40,40,0,0,0
2025-11-13,15/08/2025,39.50,6800,38.90,39.50,38.60,0,0,0
2025-11-13,14/08/2025,38.90,400,38.90,38.90,38.90,0,0,0
2025-11-13,13/08/2025,39,20400,38,40.10,38,0,0,0
2025-11-13,12/08/2025,38.60,300,38.60,38.60,38.60,0,0,0
2025-11-13,11/08/2025,39.05,12400,39,39.05,39,0,0,0
2025-11-13,08/08/2025,39,21800,39.40,41.80,39,200,0,0.0
2025-11-13,07/08/2025,39.10,8000,39,39.10,39,600,0,0.0
2025-11-13,06/08/2025,39,10000,38,39,38,0,0,0
2025-11-13,05/08/2025,36.50,300,36.60,36.60,36.50,0,0,0
2025-11-13,04/08/2025,38,28600,36.25,38.70,36,0,0,0
2025-11-13,01/08/2025,36.20,5200,38.90,38.90,36.20,0,0,0
2025-11-13,31/07/2025,38.50,700,38.50,38.50,38.50,0,0,0
2025-11-13,30/07/2025,39.90,10000,38.90,39.90,38.90,0,0,0
2025-11-13,29/07/2025,39,53700,37.55,39,37.50,0,0,0
2025-11-13,28/07/2025,37.55,1000,37.55,37.55,37.55,0,0,0
2025-11-13,25/07/2025,37.90,5000,37.80,37.90,37.80,0,0,0
2025-11-13,24/07/2025,37.40,1300,37.60,37.60,37.40,0,0,0
2025-11-13,23/07/2025,37.60,23200,37.50,37.60,37.50,0,0,0
2025-11-13,22/07/2025,37.80,300,37.90,37.90,37.80,0,0,0
2025-11-13,21/07/2025,37.10,100,37.10,37.10,37.10,0,0,0
2025-11-13,18/07/2025,37.50,20600,37.50,37.50,37.50,0,0,0
2025-11-13,17/07/2025,37.50,13900,37.30,37.50,37.30,0,0,0
2025-11-13,16/07/2025,37.50,5100,37.20,37.50,37.20,0,0,0
2025-11-13,15/07/2025,37.90,20300,37.50,37.90,37.50,0,0,0
2025-11-13,14/07/2025,36.80,0,36.80,36.80,36.80,0,0,0
2025-11-13,11/07/2025,36.80,2200,37,37.20,36.80,0,0,0
2025-11-13,10/07/2025,37.20,100,37.20,37.20,37.20,0,0,0
2025-11-13,09/07/2025,37.20,900,37.40,37.40,37.20,0,0,0
2025-11-13,08/07/2025,37.20,5100,37,37.20,37,0,800,-0.0
2025-11-13,07/07/2025,37.20,800,37,37.20,37,0,0,0
2025-11-13,04/07/2025,37.30,5300,37,37.30,37,0,0,0
2025-11-13,03/07/2025,37,1700,36,37,36,0,0,0
2025-11-13,02/07/2025,37,5300,37,37,37,0,0,0
2025-11-13,01/07/2025,37,5800,37,37.10,37,200,0,0.0
2025-11-13,30/06/2025,37,7400,36.50,37,36.50,0,0,0
2025-11-13,27/06/2025,36.50,400,36.50,36.50,36.50,0,0,0
2025-11-13,26/06/2025,36.50,4300,36.80,36.80,35,0,0,0
2025-11-13,25/06/2025,36.60,1300,36.80,36.80,36.60,0,0,0
2025-11-13,24/06/2025,37,100,37,37,37,0,0,0
