date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.10,9000,4,4.10,4,0,0,0
2025-11-13,11/11/2025,4,53300,4,4.20,4,0,0,0
2025-11-13,10/11/2025,4.10,1100,4,4.10,4,0,0,0
2025-11-13,07/11/2025,4,4200,4,4,4,0,0,0
2025-11-13,06/11/2025,4.40,100,4.40,4.40,4.40,0,0,0
2025-11-13,05/11/2025,4.10,10000,4.30,4.30,4.10,0,0,0
2025-11-13,04/11/2025,4,2700,4.20,4.20,4,0,0,0
2025-11-13,03/11/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,31/10/2025,4.30,36900,4.10,4.30,4,0,0,0
2025-11-13,30/10/2025,4.20,8000,4.30,4.30,4.20,0,0,0
2025-11-13,29/10/2025,4.30,2500,4.30,4.30,4.30,0,0,0
2025-11-13,28/10/2025,4.30,300,4.20,4.30,4.20,0,0,0
2025-11-13,27/10/2025,3.90,1000,4.10,4.10,3.90,0,0,0
2025-11-13,24/10/2025,4.10,1400,4.70,4.70,4,0,0,0
2025-11-13,23/10/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,22/10/2025,4.10,3600,4,4.10,3.90,0,0,0
2025-11-13,21/10/2025,4.10,21300,3.90,4.20,3.90,0,0,0
2025-11-13,20/10/2025,3.60,12300,4.20,4.20,3.60,0,0,0
2025-11-13,17/10/2025,4.30,24100,4.40,4.40,4.10,0,0,0
2025-11-13,16/10/2025,4.10,8700,3.90,4.20,3.90,0,0,0
2025-11-13,15/10/2025,4.10,3100,4.10,4.10,4.10,0,0,0
2025-11-13,14/10/2025,4.10,15600,4.20,4.30,4.10,0,0,0
2025-11-13,13/10/2025,4.20,10500,4.30,4.40,4.20,0,0,0
2025-11-13,10/10/2025,4.30,2900,4.30,4.40,4.20,0,0,0
2025-11-13,09/10/2025,4.40,400,4.40,4.40,4.40,0,0,0
2025-11-13,08/10/2025,4.40,7200,4.50,4.50,4.40,0,0,0
2025-11-13,07/10/2025,4.40,900,4.40,4.40,4.30,0,0,0
2025-11-13,06/10/2025,4.40,3100,4.10,4.50,4.10,0,0,0
2025-11-13,03/10/2025,4.50,200,4.50,4.50,4.50,0,0,0
2025-11-13,02/10/2025,4.30,4100,4.40,4.40,4.20,0,0,0
2025-11-13,01/10/2025,4.40,1900,4.90,4.90,4.20,0,0,0
2025-11-13,30/09/2025,4.40,2300,4.50,4.50,4.20,0,0,0
2025-11-13,29/09/2025,4.50,1900,4.60,4.60,4.40,0,0,0
2025-11-13,26/09/2025,4.40,3200,4.60,4.60,4.40,0,0,0
2025-11-13,25/09/2025,4.50,17300,4.30,4.50,4.20,0,0,0
2025-11-13,24/09/2025,4.30,11100,4.20,4.30,4.10,0,0,0
2025-11-13,23/09/2025,4.40,300,4.30,4.40,4.30,0,0,0
2025-11-13,22/09/2025,4.40,2700,4.40,4.40,4.30,0,0,0
2025-11-13,19/09/2025,4.40,12100,4.40,4.40,4,0,0,0
2025-11-13,18/09/2025,4.40,11500,3.80,4.40,3.80,0,0,0
2025-11-13,17/09/2025,3.80,62400,4.20,4.30,3.70,0,0,0
2025-11-13,16/09/2025,4.10,8000,4.50,4.50,4.10,0,0,0
2025-11-13,15/09/2025,4.50,9800,4.20,4.70,4.20,0,0,0
2025-11-13,12/09/2025,4.50,900,4.60,4.60,4.50,0,0,0
2025-11-13,11/09/2025,4.70,700,4.40,4.70,4.40,0,0,0
2025-11-13,10/09/2025,4.70,400,4.60,4.70,4.60,0,0,0
2025-11-13,09/09/2025,4.50,11400,5.20,5.20,4.50,0,0,0
2025-11-13,08/09/2025,4.80,10500,4.80,4.80,4.70,0,0,0
2025-11-13,05/09/2025,4.70,33400,5,5,4.70,0,0,0
2025-11-13,04/09/2025,4.70,21600,4.50,4.70,4.50,0,0,0
2025-11-13,03/09/2025,4.50,11000,4.40,4.60,4.40,0,0,0
2025-11-13,29/08/2025,4.70,3600,4.50,4.70,4.50,0,0,0
2025-11-13,28/08/2025,4.50,6100,4.70,4.70,4.50,0,0,0
2025-11-13,27/08/2025,4.70,3400,4.70,4.70,4.70,0,0,0
2025-11-13,26/08/2025,4.60,10700,4.80,4.80,4.50,0,0,0
2025-11-13,25/08/2025,4.30,1400,4.50,4.50,4.20,0,0,0
2025-11-13,22/08/2025,4.40,24500,4.50,4.50,4.30,0,0,0
2025-11-13,21/08/2025,4.50,27100,4.50,4.50,4.40,0,0,0
2025-11-13,20/08/2025,4.50,37400,4.60,4.70,4.50,0,0,0
2025-11-13,19/08/2025,4.70,31800,4.80,4.80,4.50,0,0,0
2025-11-13,18/08/2025,4.80,25500,4.90,4.90,4.70,0,0,0
2025-11-13,15/08/2025,4.90,37900,4.90,4.90,4.60,0,0,0
2025-11-13,14/08/2025,4.90,18100,4.80,5,4.80,0,0,0
2025-11-13,13/08/2025,4.80,34400,5,5,4.70,0,0,0
2025-11-13,12/08/2025,4.90,28600,5,5.10,4.90,0,0,0
2025-11-13,11/08/2025,5,76600,5.10,5.20,4.90,0,0,0
2025-11-13,08/08/2025,5,55300,5.30,5.40,5,0,0,0
2025-11-13,07/08/2025,5.30,23000,5.10,5.40,5.10,0,0,0
2025-11-13,06/08/2025,5.30,47000,5.10,5.30,5,0,0,0
2025-11-13,05/08/2025,5.20,29700,5.80,5.80,5.20,0,0,0
2025-11-13,04/08/2025,5.50,21900,5.20,5.50,5.20,0,0,0
2025-11-13,01/08/2025,5.50,175400,5.90,5.90,5.10,0,0,0
2025-11-13,31/07/2025,5.60,49000,6.20,6.20,5.60,0,0,0
2025-11-13,30/07/2025,5.90,552700,5.90,5.90,5.80,0,0,0
2025-11-13,29/07/2025,5.70,584900,5.90,6,5.40,0,0,0
2025-11-13,28/07/2025,5.90,138500,5.90,6.40,5.80,0,0,0
2025-11-13,25/07/2025,5.90,172000,5.60,6.40,5.50,0,0,0
2025-11-13,24/07/2025,5.50,83700,5.50,5.90,5.40,0,0,0
2025-11-13,23/07/2025,5.50,230900,5.50,5.50,4.80,0,0,0
2025-11-13,22/07/2025,5.50,439900,5.40,5.50,4.80,0,0,0
2025-11-13,21/07/2025,5.40,269000,5.60,6,5.30,0,0,0
2025-11-13,18/07/2025,5.50,806600,5.50,5.50,5.40,0,17700,-0.1
2025-11-13,17/07/2025,4.80,235000,4.20,4.80,4.20,0,0,0
2025-11-13,16/07/2025,4.20,129800,4.20,4.20,4.10,0,0,0
2025-11-13,15/07/2025,3.70,129500,3.50,3.70,3.50,0,0,0
2025-11-13,14/07/2025,3.30,170900,3,3.30,3,0,0,0
2025-11-13,11/07/2025,3.30,69500,2.90,3.30,2.80,0,0,0
2025-11-13,10/07/2025,3,69300,2.90,3,2.90,0,0,0
2025-11-13,09/07/2025,3,29500,2.90,3,2.80,0,0,0
2025-11-13,08/07/2025,2.90,20900,3,3,2.90,0,0,0
2025-11-13,07/07/2025,3,52500,3,3,2.90,0,0,0
2025-11-13,04/07/2025,3,21400,3,3,2.90,0,0,0
2025-11-13,03/07/2025,3,32500,3,3,3,0,0,0
2025-11-13,02/07/2025,3,265100,3,3,2.90,0,0,0
2025-11-13,01/07/2025,2.90,9400,2.90,2.90,2.80,0,0,0
2025-11-13,30/06/2025,2.80,17600,2.70,2.80,2.70,0,0,0
2025-11-13,27/06/2025,2.80,27200,2.70,2.80,2.60,0,0,0
2025-11-13,26/06/2025,2.70,128800,3,3,2.50,0,0,0
2025-11-13,25/06/2025,2.90,25500,3.10,3.10,2.90,0,0,0
2025-11-13,24/06/2025,3,36000,2.90,3,2.90,0,0,0
