date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,11/11/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,10/11/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,07/11/2025,10.80,100,10.80,10.80,10.80,0,0,0
2025-11-13,06/11/2025,11.90,0,11.90,11.90,11.90,0,0,0
2025-11-13,05/11/2025,11.90,100,11.90,11.90,11.90,0,0,0
2025-11-13,04/11/2025,11,0,11,11,11,0,0,0
2025-11-13,03/11/2025,11,0,11,11,11,0,0,0
2025-11-13,31/10/2025,11,100,11,11,11,0,0,0
2025-11-13,30/10/2025,10.10,1000,10.40,10.40,10.10,0,0,0
2025-11-13,29/10/2025,11.20,300,11.20,11.20,11.20,0,0,0
2025-11-13,28/10/2025,11.30,0,11.30,11.30,11.30,0,0,0
2025-11-13,27/10/2025,11.30,0,11.30,11.30,11.30,0,0,0
2025-11-13,24/10/2025,11.30,0,11.30,11.30,11.30,0,0,0
2025-11-13,23/10/2025,11.30,700,11.10,11.30,11,0,0,0
2025-11-13,22/10/2025,11.20,1100,11,11.20,11,0,0,0
2025-11-13,21/10/2025,11.30,0,11.30,11.30,11.30,0,0,0
2025-11-13,20/10/2025,11.30,100,11.30,11.30,11.30,0,0,0
2025-11-13,17/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,16/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,15/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,14/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,13/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,10/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,09/10/2025,10.90,500,10.90,10.90,10.90,0,0,0
2025-11-13,08/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,07/10/2025,10.90,5000,10.90,10.90,10.90,0,0,0
2025-11-13,06/10/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,03/10/2025,10.90,5200,10.80,10.90,10.80,0,0,0
2025-11-13,02/10/2025,11.30,0,11.30,11.30,11.30,0,0,0
2025-11-13,01/10/2025,11.30,300,10.90,11.30,10.90,200,0,0.0
2025-11-13,30/09/2025,10.50,3300,10.20,10.50,10.20,0,0,0
2025-11-13,29/09/2025,10.20,100,10.20,10.20,10.20,0,0,0
2025-11-13,26/09/2025,11,100,11,11,11,0,0,0
2025-11-13,25/09/2025,11,11800,10.20,11.10,10.20,2800,0,0.0
2025-11-13,24/09/2025,10.10,100,10.10,10.10,10.10,0,0,0
2025-11-13,23/09/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,22/09/2025,10.80,0,10.80,10.80,10.80,0,0,0
2025-11-13,19/09/2025,10.80,100,10.80,10.80,10.80,0,0,0
2025-11-13,18/09/2025,10.70,0,10.70,10.70,10.70,0,0,0
2025-11-13,17/09/2025,10.70,5200,11.20,11.20,10.70,0,0,0
2025-11-13,16/09/2025,11.40,0,11.40,11.40,11.40,0,0,0
2025-11-13,15/09/2025,11.40,0,11.40,11.40,11.40,0,0,0
2025-11-13,12/09/2025,11.40,0,11.40,11.40,11.40,0,0,0
2025-11-13,11/09/2025,11.40,0,11.40,11.40,11.40,0,0,0
2025-11-13,10/09/2025,11.40,0,11.40,11.40,11.40,0,0,0
2025-11-13,09/09/2025,11.40,100,11.40,11.40,11.40,0,0,0
2025-11-13,08/09/2025,11.20,800,11.20,11.20,11.20,0,0,0
2025-11-13,05/09/2025,11,0,11,11,11,0,0,0
2025-11-13,04/09/2025,11,3200,11,11,11,0,0,0
2025-11-13,03/09/2025,11,22600,10.50,11.30,10.50,0,0,0
2025-11-13,29/08/2025,10.40,1000,11,11,10.40,0,0,0
2025-11-13,28/08/2025,11.10,0,11.10,11.10,11.10,0,0,0
2025-11-13,27/08/2025,11.10,0,11.10,11.10,11.10,0,0,0
2025-11-13,26/08/2025,11.10,3700,11.10,11.10,11.10,0,100,-0.0
2025-11-13,25/08/2025,11.20,100,11.20,11.20,11.20,0,0,0
2025-11-13,22/08/2025,11,3000,11.10,11.10,11,0,0,0
2025-11-13,21/08/2025,11,0,11,11,11,0,0,0
2025-11-13,20/08/2025,11,0,11,11,11,0,0,0
2025-11-13,19/08/2025,11,200,10.40,11,10.40,0,0,0
2025-11-13,18/08/2025,10.10,100,10.10,10.10,10.10,0,0,0
2025-11-13,15/08/2025,11,12200,11,11,11,0,0,0
2025-11-13,14/08/2025,11.10,500,11.10,11.10,11.10,0,0,0
2025-11-13,13/08/2025,11,18000,11,11,11,0,0,0
2025-11-13,12/08/2025,11,8200,10,11.20,10,100,0,0.0
2025-11-13,11/08/2025,11,20000,11,11.20,11,0,20000,-0.2
2025-11-13,08/08/2025,11.20,800,11.20,11.20,11.20,0,0,0
2025-11-13,07/08/2025,11.20,5000,11.20,11.20,11.20,0,0,0
2025-11-13,06/08/2025,11.30,400,11,11.30,11,0,0,0
2025-11-13,05/08/2025,11,800,11,11,11,0,0,0
2025-11-13,04/08/2025,11,25800,10.80,11,10.80,6000,0,0.1
2025-11-13,01/08/2025,10.90,1200,11,11,10.90,1000,0,0.0
2025-11-13,31/07/2025,10.90,0,10.90,10.90,10.90,0,0,0
2025-11-13,30/07/2025,10.90,1000,9.90,10.90,9.90,0,0,0
2025-11-13,29/07/2025,10.90,2800,11,11,11,0,0,0
