date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.80,76000,14,14,13.70,0,0,0
2025-11-13,11/11/2025,13.80,27900,13.90,13.90,13.70,0,300,-0.0
2025-11-13,10/11/2025,14,66900,14,14.10,13.70,0,0,0
2025-11-13,07/11/2025,13.90,75800,14.20,14.20,13.80,0,0,0
2025-11-13,06/11/2025,13.90,34800,14,14.20,13.90,0,0,0
2025-11-13,05/11/2025,13.90,72600,14,14,13.70,0,0,0
2025-11-13,04/11/2025,14.10,100700,14.10,14.20,13.70,0,0,0
2025-11-13,03/11/2025,14,88300,14.10,14.30,13.90,0,0,0
2025-11-13,31/10/2025,14.20,55300,14.10,14.20,14,0,0,0
2025-11-13,30/10/2025,14.20,59500,14.20,14.30,14.10,0,9600,-0.1
2025-11-13,29/10/2025,14.40,94600,14.30,14.40,14.10,0,0,0
2025-11-13,28/10/2025,14.10,111100,14.30,14.50,14,0,0,0
2025-11-13,27/10/2025,14.30,29900,14.40,14.40,14.20,0,0,0
2025-11-13,24/10/2025,14.40,92100,14.30,14.40,14.20,0,500,-0.0
2025-11-13,23/10/2025,14.30,36100,14.30,14.40,14.10,0,0,0
2025-11-13,22/10/2025,14.30,57200,14.30,14.40,14.20,0,0,0
2025-11-13,21/10/2025,14.50,75100,14.40,14.50,14.20,1000,0,0.0
2025-11-13,20/10/2025,14.30,153300,14.60,14.80,14.10,0,0,0
2025-11-13,17/10/2025,14.50,114600,14.80,14.90,14.50,0,500,-0.0
2025-11-13,16/10/2025,14.80,35600,14.80,14.90,14.60,0,0,0
2025-11-13,15/10/2025,14.70,116000,14.90,14.90,14.60,0,0,0
2025-11-13,14/10/2025,14.80,71700,15.10,15.10,14.80,0,0,0
2025-11-13,13/10/2025,15,97900,15,15,14.80,0,0,0
2025-11-13,10/10/2025,15.20,55900,15.10,15.20,14.90,0,0,0
2025-11-13,09/10/2025,15.10,98400,15.10,15.20,15,0,0,0
2025-11-13,08/10/2025,15.10,603500,15,15.20,14.90,0,8500,-0.1
2025-11-13,07/10/2025,15,40600,15,15,14.90,0,0,0
2025-11-13,06/10/2025,15,67100,14.90,15,14.80,0,0,0
2025-11-13,03/10/2025,14.70,84700,14.90,14.90,14.70,0,0,0
2025-11-13,02/10/2025,14.90,78600,15,15.10,14.80,0,0,0
2025-11-13,01/10/2025,15.10,65800,15,15.10,14.80,500,0,0.0
2025-11-13,30/09/2025,15,122500,15.10,15.20,14.80,0,0,0
2025-11-13,29/09/2025,15.10,95900,15.10,15.10,14.90,0,0,0
2025-11-13,26/09/2025,15.20,103400,15.20,15.20,15,0,0,0
2025-11-13,25/09/2025,15.20,117500,15,15.30,15,0,200,-0.0
2025-11-13,24/09/2025,15,140800,15,15.10,14.90,0,0,0
2025-11-13,23/09/2025,15.10,73400,15.20,15.20,15,0,0,0
2025-11-13,22/09/2025,15.10,161800,15.10,15.30,14.80,0,0,0
2025-11-13,19/09/2025,15.30,125900,15.40,15.40,15,0,0,0
2025-11-13,18/09/2025,15.40,74000,15.40,15.50,15.30,0,0,0
