date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,11/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,10/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,07/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,06/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,05/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,04/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,03/11/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,31/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,30/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,29/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,28/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,27/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,24/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,23/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,22/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,21/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,20/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,17/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,16/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,15/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,14/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,13/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,10/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,09/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,08/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,07/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,06/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,03/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,02/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,01/10/2025,32.70,0,32.70,32.70,32.70,0,0,0
2025-11-13,30/09/2025,32.70,100,32.70,32.70,32.70,0,0,0
2025-11-13,29/09/2025,36.30,0,36.30,36.30,36.30,0,0,0
2025-11-13,26/09/2025,36.30,0,36.30,36.30,36.30,0,0,0
2025-11-13,25/09/2025,36.30,100,36.30,36.30,36.30,0,0,0
2025-11-13,24/09/2025,33,0,33,33,33,0,0,0
2025-11-13,23/09/2025,33,0,33,33,33,0,0,0
2025-11-13,22/09/2025,33,0,33,33,33,0,0,0
2025-11-13,19/09/2025,33,0,33,33,33,0,0,0
2025-11-13,18/09/2025,33,0,33,33,33,0,0,0
2025-11-13,17/09/2025,33,0,33,33,33,0,0,0
2025-11-13,16/09/2025,33,0,33,33,33,0,0,0
2025-11-13,15/09/2025,33,0,33,33,33,0,0,0
2025-11-13,12/09/2025,33,0,33,33,33,0,0,0
2025-11-13,11/09/2025,33,0,33,33,33,0,0,0
2025-11-13,10/09/2025,33,0,33,33,33,0,0,0
2025-11-13,09/09/2025,33,0,33,33,33,0,0,0
2025-11-13,08/09/2025,33,0,33,33,33,0,0,0
2025-11-13,05/09/2025,33,0,33,33,33,0,0,0
2025-11-13,04/09/2025,33,0,33,33,33,0,0,0
2025-11-13,03/09/2025,33,0,33,33,33,0,0,0
2025-11-13,29/08/2025,33,4000,33,33,33,0,0,0
2025-11-13,28/08/2025,33.10,500,33.10,33.10,33.10,0,0,0
2025-11-13,27/08/2025,33.10,7200,33,33.10,33,0,0,0
2025-11-13,26/08/2025,30.10,5000,29,30.10,29,0,0,0
2025-11-13,25/08/2025,27.40,100,27.40,27.40,27.40,0,0,0
2025-11-13,22/08/2025,29,0,29,29,29,0,0,0
2025-11-13,21/08/2025,29,0,29,29,29,0,0,0
2025-11-13,20/08/2025,29,0,29,29,29,0,0,0
2025-11-13,19/08/2025,29,0,29,29,29,0,0,0
2025-11-13,18/08/2025,29,0,29,29,29,0,0,0
2025-11-13,15/08/2025,29,1000,28.50,29,28.50,0,0,0
2025-11-13,14/08/2025,29,0,29,29,29,0,0,0
2025-11-13,13/08/2025,29,3400,28.50,29,28.50,0,0,0
2025-11-13,12/08/2025,26.40,7700,26,26.40,26,0,0,0
2025-11-13,11/08/2025,24,0,24,24,24,0,0,0
2025-11-13,08/08/2025,24,0,24,24,24,0,0,0
2025-11-13,07/08/2025,24,0,24,24,24,0,0,0
2025-11-13,06/08/2025,24,0,24,24,24,0,0,0
2025-11-13,05/08/2025,24,100,24,24,24,0,0,0
