date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,59.80,5161900,58.80,60,58.50,1524999,134863,82.9
2025-11-13,11/11/2025,58.90,5152700,57,59,57,1527800,137400,80.5
2025-11-13,10/11/2025,57,2675800,57.70,57.90,57,703600,694100,0.6
2025-11-13,07/11/2025,57.60,3251100,57.60,58.40,57.50,1338700,659100,39.5
2025-11-13,06/11/2025,58,2241200,58,58.50,57.60,700200,165500,31.1
2025-11-13,05/11/2025,58,3831600,57.30,58.50,57.10,944500,186000,43.8
2025-11-13,04/11/2025,57.30,4175200,57.60,57.90,56.30,246100,172000,4.2
2025-11-13,03/11/2025,57.30,2642700,57.70,58.30,57.30,258400,297200,-2.3
2025-11-13,31/10/2025,57.60,2641500,57.40,57.70,57.10,392500,288900,5.9
2025-11-13,30/10/2025,57.10,1905200,57.80,57.90,57,193500,436100,-13.8
2025-11-13,29/10/2025,57.50,1973000,57.50,57.90,57.10,377700,57300,18.4
2025-11-13,28/10/2025,57.40,2079100,57.20,57.40,56.80,218200,353100,-7.7
2025-11-13,27/10/2025,57,2998800,58.40,58.40,57,365100,721800,-20.5
2025-11-13,24/10/2025,58.10,3959900,56.90,58.10,56.10,1329600,820800,29.2
2025-11-13,23/10/2025,56.60,2327300,56.50,57.10,56.30,264700,681400,-23.6
2025-11-13,22/10/2025,56.30,3846700,57.10,57.30,55.70,186700,1278600,-61.5
2025-11-13,21/10/2025,56.50,7068100,56.10,58,56.10,1726100,1586400,8.0
2025-11-13,20/10/2025,55,8737700,58.90,59.40,55,657800,2083800,-83.3
2025-11-13,17/10/2025,58.80,6041500,61,61.20,58.80,409000,1880800,-87.5
2025-11-13,16/10/2025,61.20,5158400,60.80,61.20,60.20,1146600,534800,37.3
2025-11-13,15/10/2025,63.60,4645400,63.80,64.40,63.60,1046800,97900,60.8
2025-11-13,14/10/2025,63.50,5359800,64.40,64.40,63.30,1939400,675200,80.8
2025-11-13,13/10/2025,64,6305000,62.20,64.10,61.80,1917800,121100,113.5
2025-11-13,10/10/2025,62.40,4972200,63.40,63.40,62.40,503000,436000,4.2
2025-11-13,09/10/2025,62.90,3297300,63.40,63.50,62.60,0,0,0
2025-11-13,08/10/2025,63.40,5919700,62.30,63.50,61.70,1168900,490600,42.5
2025-11-13,07/10/2025,61.40,3715300,62.70,62.70,61.40,113700,723700,-37.9
2025-11-13,06/10/2025,62.40,4051900,62.70,62.70,61.80,275500,1349700,-66.7
2025-11-13,03/10/2025,61.30,3998500,61.30,62.30,61.20,364600,864900,-30.8
2025-11-13,02/10/2025,61.20,3398700,62.50,62.60,61.20,201100,822200,-38.5
2025-11-13,01/10/2025,62.10,4526400,60.70,62.50,60.20,328200,1114500,-48.5
2025-11-13,30/09/2025,60,3030200,60.40,60.80,60,96200,479900,-23.1
2025-11-13,29/09/2025,60.30,5130400,61.10,61.20,60.20,108200,1996700,-114.6
2025-11-13,26/09/2025,61.10,2489900,61.50,61.80,61.10,182200,584500,-24.7
2025-11-13,25/09/2025,61.50,2752800,62.30,62.40,61.50,79300,724500,-39.9
2025-11-13,24/09/2025,62,3214500,61.90,62,61,306200,750700,-27.3
2025-11-13,23/09/2025,61.60,3425100,61.50,62.50,61.50,769000,358800,25.5
2025-11-13,22/09/2025,61.40,5285200,62.10,62.80,61.40,879200,533300,21.5
2025-11-13,19/09/2025,62,5300500,63.80,63.90,62,640000,1540400,-56.2
2025-11-13,18/09/2025,63.60,5050800,65.10,65.30,63.50,172300,178300,-0.4
2025-11-13,17/09/2025,65.10,9865800,64.80,66.20,64.80,3540100,982400,168.1
2025-11-13,16/09/2025,64.70,12673100,63.50,65.40,63.20,3253800,550000,173.4
2025-11-13,15/09/2025,63.10,3527500,63.40,63.50,62.80,982100,399300,36.8
2025-11-13,12/09/2025,63.20,13670300,61.30,63.50,61,3028900,484600,159.0
2025-11-13,11/09/2025,61.20,4998900,59.80,61.20,59.40,1162600,285300,52.4
2025-11-13,10/09/2025,59.80,3120100,60.50,60.60,59.70,55700,541800,-29.2
