date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,9.17,28300,9.20,9.25,9.17,0,0,0
2025-11-13,11/11/2025,9.25,20900,9.25,9.25,9.20,0,0,0
2025-11-13,10/11/2025,9.34,600,9.26,9.34,9.26,0,0,0
2025-11-13,07/11/2025,9.33,15200,9.30,9.33,9.22,0,0,0
2025-11-13,06/11/2025,9.34,9800,9.35,9.35,9.34,0,0,0
2025-11-13,05/11/2025,9.34,17000,9.34,9.34,9.25,0,0,0
2025-11-13,04/11/2025,9.34,15200,9.45,9.45,9.33,0,0,0
2025-11-13,03/11/2025,9.35,24800,9.40,9.49,9.25,0,0,0
2025-11-13,31/10/2025,9.45,52600,9.60,9.60,9.25,0,0,0
2025-11-13,30/10/2025,9.65,23000,9.67,9.68,9.51,20000,0,0.2
2025-11-13,29/10/2025,9.61,2600,9.58,9.68,9.36,0,0,0
2025-11-13,28/10/2025,9.58,1900,9.50,9.59,9.32,100,100,-0
2025-11-13,27/10/2025,9.67,500,9.49,9.67,9.49,0,0,0
2025-11-13,24/10/2025,9.30,29700,9.29,9.45,9.29,0,0,0
2025-11-13,23/10/2025,9.46,11800,9.49,9.49,9.27,0,300,-0.0
2025-11-13,22/10/2025,9.40,10400,9.33,9.49,9.24,0,100,-0.0
2025-11-13,21/10/2025,9.50,12500,9.56,9.56,9.17,0,0,0
2025-11-13,20/10/2025,9.55,8900,9.55,9.56,9.55,0,0,0
2025-11-13,17/10/2025,9.55,15900,9.55,9.56,9.50,0,0,0
2025-11-13,16/10/2025,9.58,10600,9.59,9.59,9.55,0,0,0
2025-11-13,15/10/2025,9.58,9600,9.56,9.58,9.55,0,0,0
2025-11-13,14/10/2025,9.55,27100,9.60,9.68,9.52,0,0,0
2025-11-13,13/10/2025,9.60,7100,9.56,9.69,9.56,0,100,-0.0
2025-11-13,10/10/2025,9.68,5300,9.60,9.68,9.60,0,0,0
2025-11-13,09/10/2025,9.68,8500,9.62,9.69,9.60,0,0,0
2025-11-13,08/10/2025,9.62,9000,9.70,9.71,9.62,0,0,0
2025-11-13,07/10/2025,9.61,7000,9.68,9.70,9.60,0,0,0
2025-11-13,06/10/2025,9.68,1200,9.70,9.70,9.62,0,0,0
2025-11-13,03/10/2025,9.63,7400,9.62,9.63,9.52,0,0,0
2025-11-13,02/10/2025,9.62,2700,9.70,9.70,9.57,0,0,0
2025-11-13,01/10/2025,9.60,14500,9.60,9.60,9.50,0,0,0
2025-11-13,30/09/2025,9.60,10100,9.65,9.65,9.60,0,0,0
2025-11-13,29/09/2025,9.65,1500,9.70,9.70,9.65,0,0,0
2025-11-13,26/09/2025,9.69,4100,9.66,9.69,9.66,0,0,0
2025-11-13,25/09/2025,9.66,1800,9.71,9.71,9.66,0,0,0
2025-11-13,24/09/2025,9.71,7400,9.71,9.71,9.69,0,0,0
2025-11-13,23/09/2025,9.71,3000,9.71,9.72,9.71,0,0,0
2025-11-13,22/09/2025,9.72,10200,9.65,9.72,9.65,0,0,0
2025-11-13,19/09/2025,9.72,2300,9.65,9.72,9.64,0,0,0
2025-11-13,18/09/2025,9.65,1300,9.65,9.65,9.65,200,0,0.0
2025-11-13,17/09/2025,9.70,2600,9.63,9.70,9.63,0,0,0
2025-11-13,16/09/2025,9.70,2100,9.69,9.71,9.66,0,0,0
2025-11-13,15/09/2025,9.69,24700,9.65,9.69,9.63,0,0,0
2025-11-13,12/09/2025,9.69,6900,9.66,9.69,9.63,0,0,0
2025-11-13,11/09/2025,9.66,30800,9.62,9.66,9.60,0,0,0
2025-11-13,10/09/2025,9.66,8500,9.69,9.69,9.59,4100,0,0.0
2025-11-13,09/09/2025,9.67,1100,9.69,9.69,9.63,0,0,0
2025-11-13,08/09/2025,9.64,31500,9.70,9.71,9.61,0,0,0
2025-11-13,05/09/2025,9.70,33800,9.70,9.72,9.63,600,29000,-0.3
2025-11-13,04/09/2025,9.72,2600,9.70,9.72,9.70,100,0,0.0
2025-11-13,03/09/2025,9.72,10500,9.73,9.73,9.70,100,0,0.0
2025-11-13,29/08/2025,9.73,4600,9.62,9.73,9.62,0,2300,-0.0
2025-11-13,28/08/2025,9.64,4100,9.65,9.65,9.64,0,100,0
2025-11-13,27/08/2025,9.70,3600,9.69,9.75,9.69,0,0,0
2025-11-13,26/08/2025,9.70,1400,9.69,9.70,9.67,0,0,0
2025-11-13,25/08/2025,9.70,3200,9.62,9.70,9.62,0,0,0
2025-11-13,22/08/2025,9.70,17600,9.77,9.77,9.60,0,0,0
2025-11-13,21/08/2025,9.65,9000,9.74,9.74,9.65,800,0,0.0
2025-11-13,20/08/2025,9.61,48300,9.70,9.75,9.60,400,0,0.0
2025-11-13,19/08/2025,9.75,48400,9.65,9.80,9.65,0,0,0
2025-11-13,18/08/2025,9.65,34400,9.74,9.74,9.65,0,6400,-0.1
2025-11-13,15/08/2025,9.74,27000,9.73,9.74,9.60,500,1400,-0.0
2025-11-13,14/08/2025,9.73,27600,9.72,9.74,9.65,0,1600,-0.0
2025-11-13,13/08/2025,9.82,43500,9.70,9.83,9.70,0,800,-0.0
2025-11-13,12/08/2025,9.80,5600,9.80,9.83,9.75,0,0,0
2025-11-13,11/08/2025,9.83,49500,9.65,9.90,9.65,3100,0,0.0
2025-11-13,08/08/2025,9.89,64200,9.80,9.89,9.75,1000,0,0.0
2025-11-13,07/08/2025,9.80,34400,9.77,9.80,9.70,0,5000,-0.0
2025-11-13,06/08/2025,9.77,18000,9.75,9.77,9.67,100,0,0.0
2025-11-13,05/08/2025,9.72,36100,9.78,9.80,9.70,0,0,0
2025-11-13,04/08/2025,9.78,31000,9.70,9.82,9.67,200,0,0.0
2025-11-13,01/08/2025,9.75,33000,9.79,9.90,9.60,600,0,0.0
2025-11-13,31/07/2025,9.79,22800,9.79,9.89,9.65,100,700,-0.0
2025-11-13,30/07/2025,9.79,61100,9.78,9.95,9.64,300,0,0.0
2025-11-13,29/07/2025,9.78,79000,10.20,10.20,9.76,1900,0,0.0
2025-11-13,28/07/2025,9.91,550700,10.75,11,9.91,1200,500,0.0
2025-11-13,25/07/2025,10.65,110200,11.25,11.30,10.60,1000,0,0.0
2025-11-13,24/07/2025,10.60,279500,9.70,10.60,9.46,0,100,-0.0
2025-11-13,23/07/2025,9.95,159800,9.88,10,9.46,1500,0,0.0
2025-11-13,22/07/2025,9.80,35200,9.80,9.85,9.52,0,0,0
2025-11-13,21/07/2025,9.71,49200,9.75,9.88,9.50,0,300,-0.0
2025-11-13,18/07/2025,9.73,52800,9.87,9.90,9.60,0,0,0
2025-11-13,17/07/2025,9.88,37800,9.88,9.90,9.55,0,11800,-0.1
2025-11-13,16/07/2025,9.88,145700,9.50,9.90,9.47,300,0,0.0
2025-11-13,15/07/2025,9.63,60600,9.59,9.63,9.46,0,30000,-0.3
2025-11-13,14/07/2025,9.56,8600,9.58,9.58,9.47,0,200,-0.0
2025-11-13,11/07/2025,9.57,3300,9.57,9.57,9.46,0,0,0
2025-11-13,10/07/2025,9.57,10300,9.59,9.59,9.45,0,0,0
2025-11-13,09/07/2025,9.54,24000,9.59,9.59,9.50,0,0,0
2025-11-13,08/07/2025,9.54,15400,9.42,9.56,9.38,0,0,0
2025-11-13,07/07/2025,9.50,900,9.50,9.50,9.50,0,0,0
2025-11-13,04/07/2025,9.50,800,9.40,9.50,9.40,0,0,0
2025-11-13,03/07/2025,9.51,7500,9.40,9.51,9.40,0,0,0
2025-11-13,02/07/2025,9.53,1200,9.56,9.56,9.52,0,600,-0.0
2025-11-13,01/07/2025,9.58,7400,9.50,9.58,9.50,0,500,-0.0
2025-11-13,30/06/2025,9.52,6400,9.33,9.56,9.33,0,100,-0.0
2025-11-13,27/06/2025,9.57,5800,9.50,9.57,9.25,0,0,0
2025-11-13,26/06/2025,9.58,4500,9.50,9.58,9.41,0,100,-0.0
2025-11-13,25/06/2025,9.58,300,9.58,9.59,9.58,0,0,0
