date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.25,206100,6.26,6.29,6.20,6400,25,0.0
2025-11-13,11/11/2025,6.25,95000,6.33,6.33,6.20,2600,100,0.0
2025-11-13,10/11/2025,6.22,190900,6.34,6.39,6.20,15300,400,0.1
2025-11-13,07/11/2025,6.35,166700,6.46,6.47,6.35,6400,38700,-0.2
2025-11-13,06/11/2025,6.43,107800,6.50,6.50,6.38,7700,0,0.0
2025-11-13,05/11/2025,6.50,108900,6.52,6.52,6.37,0,100,-0.0
2025-11-13,04/11/2025,6.50,456900,6.45,6.50,6.08,45900,50500,-0.0
2025-11-13,03/11/2025,6.45,1084400,6.92,6.93,6.45,1800,12500,-0.1
2025-11-13,31/10/2025,6.93,489100,7,7.05,6.80,0,56800,-0.4
2025-11-13,30/10/2025,7.07,1959300,7.61,7.65,7.07,44700,160000,-0.8
2025-11-13,29/10/2025,7.60,288500,7.45,7.65,7.42,32900,0,0.2
2025-11-13,28/10/2025,7.41,286100,7.09,7.50,6.97,18000,0,0.1
2025-11-13,27/10/2025,7.09,213400,7.32,7.32,7.08,20000,0,0.1
2025-11-13,24/10/2025,7.21,285100,7.48,7.49,7.18,24300,0,0.2
2025-11-13,23/10/2025,7.33,248500,7.50,7.50,7.27,58800,12100,0.3
2025-11-13,22/10/2025,7.32,343400,7.70,7.85,7.26,26100,35600,-0.1
2025-11-13,21/10/2025,7.66,466200,7.72,7.83,7.41,41900,2900,0.3
2025-11-13,20/10/2025,7.40,1153200,7.50,7.77,7.30,12100,10000,0.0
2025-11-13,17/10/2025,7.27,489000,6.91,7.27,6.85,37100,1500,0.2
2025-11-13,16/10/2025,6.80,1196600,7.20,7.24,6.70,25200,14200,0.1
2025-11-13,15/10/2025,7.20,673600,7.52,7.55,7.20,6500,22900,-0.1
2025-11-13,14/10/2025,7.56,364700,7.61,7.75,7.53,100,0,0.0
2025-11-13,13/10/2025,7.55,751200,7.82,7.85,7.50,18400,0,0.1
2025-11-13,10/10/2025,7.89,957400,7.93,8.06,7.64,36100,0,0.3
2025-11-13,09/10/2025,8.10,486800,8.24,8.28,8.05,0,0,0
2025-11-13,08/10/2025,8.23,228900,8.39,8.39,8.19,0,0,0
2025-11-13,07/10/2025,8.25,299900,8.41,8.47,8.20,0,0,0
2025-11-13,06/10/2025,8.40,354700,8.40,8.45,8.39,1800,10500,-0.1
2025-11-13,03/10/2025,8.40,219800,8.62,8.62,8.39,200,100,0.0
2025-11-13,02/10/2025,8.56,315400,8.66,8.69,8.56,0,5400,-0.0
2025-11-13,01/10/2025,8.69,178900,8.73,8.73,8.66,400,1100,-0.0
2025-11-13,30/09/2025,8.69,377100,8.75,8.75,8.50,0,89400,-0.8
2025-11-13,29/09/2025,8.75,244100,8.71,8.77,8.68,0,0,0
2025-11-13,26/09/2025,8.70,112300,8.80,8.90,8.65,1700,0,0.0
2025-11-13,25/09/2025,8.80,351100,8.65,8.80,8.65,74200,0,0.6
2025-11-13,24/09/2025,8.63,235100,8.67,8.70,8.59,5600,8000,-0.0
2025-11-13,23/09/2025,8.67,168900,8.68,8.71,8.60,700,5500,-0.0
2025-11-13,22/09/2025,8.63,284300,8.72,8.72,8.53,2000,53000,-0.4
2025-11-13,19/09/2025,8.67,155500,8.67,8.75,8.65,8000,17200,-0.1
2025-11-13,18/09/2025,8.67,378500,8.79,8.81,8.60,5400,85900,-0.7
2025-11-13,17/09/2025,8.78,286300,8.86,8.86,8.75,6900,32800,-0.2
2025-11-13,16/09/2025,8.86,287100,9.08,9.08,8.85,13600,21200,-0.1
2025-11-13,15/09/2025,8.98,541700,8.78,9.02,8.78,82300,6600,0.7
2025-11-13,12/09/2025,8.78,323000,8.70,8.85,8.70,79200,1200,0.7
2025-11-13,11/09/2025,8.69,651700,8.71,8.73,8.50,21800,47800,-0.2
2025-11-13,10/09/2025,8.72,250800,8.77,8.77,8.63,4900,900,0.0
2025-11-13,09/09/2025,8.70,412900,8.80,8.88,8.61,8800,74900,-0.6
2025-11-13,08/09/2025,8.80,502900,9.06,9.07,8.75,6400,5100,0.0
2025-11-13,05/09/2025,9.09,361600,9.33,9.33,9.09,5400,13700,-0.1
2025-11-13,04/09/2025,9.22,617800,9.03,9.29,9.03,107400,0,1.0
2025-11-13,03/09/2025,9.06,379200,9.18,9.18,9.02,0,1000,-0.0
2025-11-13,29/08/2025,9.05,630500,8.84,9.20,8.76,6700,500,0.1
2025-11-13,28/08/2025,8.81,206700,8.87,8.87,8.77,4000,300,0
2025-11-13,27/08/2025,8.81,227300,8.88,8.95,8.80,2300,59700,-0.5
2025-11-13,26/08/2025,8.89,256700,8.58,8.89,8.55,7100,24200,-0.1
2025-11-13,25/08/2025,8.60,309700,8.79,8.81,8.55,6400,13900,-0.1
