date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.55,2100,14,14,13.55,0,0,0
2025-11-13,11/11/2025,13.50,100,13.50,13.50,13.50,100,0,0.0
2025-11-13,10/11/2025,13.50,18200,13,13.75,12.80,0,300,-0.0
2025-11-13,07/11/2025,13.70,15800,13.60,13.70,13.60,0,300,-0.0
2025-11-13,06/11/2025,13.25,2200,13.15,13.70,13.15,0,0,0
2025-11-13,05/11/2025,13.70,3300,13.20,13.70,13.15,300,0,0.0
2025-11-13,04/11/2025,13.40,10500,13.40,13.40,13.15,0,0,0
2025-11-13,03/11/2025,13.20,11400,13.20,13.80,13.20,300,0,0.0
2025-11-13,31/10/2025,13.50,3900,13.75,13.90,13.10,0,0,0
2025-11-13,30/10/2025,13.80,32100,13.55,14,13,0,8300,-0.1
2025-11-13,29/10/2025,13.95,10300,13.90,14.65,13.15,0,0,0
2025-11-13,28/10/2025,13.70,64500,13.70,13.70,13.10,0,0,0
2025-11-13,27/10/2025,13.70,84000,13.20,14,12.90,1500,0,0.0
2025-11-13,24/10/2025,13.20,13900,12.90,13.20,12.60,0,0,0
2025-11-13,23/10/2025,13,400,13,13,12.95,0,0,0
2025-11-13,22/10/2025,13,12100,13.45,13.45,12.55,0,0,0
2025-11-13,21/10/2025,13.45,2100,12.70,13.65,12.70,0,0,0
2025-11-13,20/10/2025,12.80,6200,12.95,12.95,12.60,0,0,0
2025-11-13,17/10/2025,12.95,12000,13,13,12.50,0,0,0
2025-11-13,16/10/2025,13,11100,13.05,13.30,13,0,900,-0.0
2025-11-13,15/10/2025,13.05,13900,13.40,13.45,13.05,0,0,0
2025-11-13,14/10/2025,13.65,32900,13.65,14.10,13.50,0,700,-0.0
2025-11-13,13/10/2025,13.80,6600,13.50,13.90,13.40,0,0,0
2025-11-13,10/10/2025,13.95,13100,13.95,14,13.40,0,100,-0.0
2025-11-13,09/10/2025,13.95,5200,13.70,13.95,13.70,0,0,0
2025-11-13,08/10/2025,14,2600,14.10,14.10,13.70,0,0,0
2025-11-13,07/10/2025,13.95,2000,13.30,13.95,13.25,0,0,0
2025-11-13,06/10/2025,14,23200,14,14.10,14,0,0,0
2025-11-13,03/10/2025,14.05,2400,13.70,14.05,13.70,0,800,-0.0
2025-11-13,02/10/2025,14.10,0,14.10,14.10,14.10,0,0,0
2025-11-13,01/10/2025,14.10,600,14.20,14.20,14.10,0,0,0
2025-11-13,30/09/2025,13.95,12100,13.75,14.60,13.70,0,500,-0.0
2025-11-13,29/09/2025,14,11400,14.20,14.20,14,0,0,0
2025-11-13,26/09/2025,14.20,18100,14.20,14.20,14,0,0,0
2025-11-13,25/09/2025,14.30,10500,14.05,14.45,14,100,0,0.0
2025-11-13,24/09/2025,14.05,7200,14.70,14.70,13.95,0,100,-0.0
2025-11-13,23/09/2025,14.70,11500,14.30,14.95,14.30,0,1900,-0.0
2025-11-13,22/09/2025,14.40,10800,13.65,14.50,13.65,0,0,0
2025-11-13,19/09/2025,14.30,11200,14,14.30,14,0,800,-0.0
2025-11-13,18/09/2025,14,3100,13.80,14.15,13.75,0,0,0
2025-11-13,17/09/2025,14,15400,14.20,14.25,13.75,900,0,0.0
2025-11-13,16/09/2025,14.25,27200,14.50,14.50,13.90,0,0,0
2025-11-13,15/09/2025,14.50,4000,13.75,14.70,13.75,400,0,0.0
2025-11-13,12/09/2025,14.15,7900,14.20,14.20,14.10,0,0,0
2025-11-13,11/09/2025,14.20,13700,14.10,14.30,13.35,1100,600,0.0
2025-11-13,10/09/2025,14.20,8700,14.50,14.85,14.10,0,0,0
2025-11-13,09/09/2025,14.80,12100,14.80,15.05,14.25,0,0,0
2025-11-13,08/09/2025,14.95,24400,14.80,15,14.05,0,500,-0.0
2025-11-13,05/09/2025,15,97200,14.10,15,14.10,4000,0,0.1
2025-11-13,04/09/2025,14.90,35800,14.85,15,14.85,0,0,0
2025-11-13,03/09/2025,14.95,12500,15.50,15.50,14.20,500,0,0.0
2025-11-13,29/08/2025,15,22100,14.50,15,13.95,0,600,-0.0
2025-11-13,28/08/2025,14.90,23100,14.50,14.95,14.15,0,1100,0
