date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,14.70,2800,14.50,14.70,14.50,0,0,0
2025-11-13,11/11/2025,15,0,15,15,15,0,0,0
2025-11-13,10/11/2025,15,0,15,15,15,0,0,0
2025-11-13,07/11/2025,15,0,15,15,15,0,0,0
2025-11-13,06/11/2025,15,0,15,15,15,0,0,0
2025-11-13,05/11/2025,15,100,15,15,15,0,0,0
2025-11-13,04/11/2025,14.10,10000,14,14.10,14,0,0,0
2025-11-13,03/11/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,31/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,30/10/2025,14.70,7800,14.70,14.70,14.70,0,0,0
2025-11-13,29/10/2025,14.70,7900,14.70,14.70,14.70,0,0,0
2025-11-13,28/10/2025,14.70,8600,14.60,14.70,14.60,0,0,0
2025-11-13,27/10/2025,14.70,500,14.40,14.70,14.40,300,0,0.0
2025-11-13,24/10/2025,14.20,0,14.20,14.20,14.20,0,0,0
2025-11-13,23/10/2025,14.20,20000,14.20,14.20,14.20,0,0,0
2025-11-13,22/10/2025,14.20,1900,14.20,14.20,14.10,0,0,0
2025-11-13,21/10/2025,14.20,2700,14.20,14.20,14.20,0,0,0
2025-11-13,20/10/2025,14.20,3900,14.30,14.30,14.20,0,0,0
2025-11-13,17/10/2025,14.60,3600,14.80,14.80,14.60,0,0,0
2025-11-13,16/10/2025,14.90,300,14.90,14.90,14.90,0,0,0
2025-11-13,15/10/2025,14.80,200,14.80,14.80,14.80,100,0,0.0
2025-11-13,14/10/2025,14.80,5000,14.80,14.80,14.80,0,0,0
2025-11-13,13/10/2025,14.90,5000,14.60,14.90,14.60,0,0,0
2025-11-13,10/10/2025,14.90,1100,14.60,14.90,14.60,0,0,0
2025-11-13,09/10/2025,15,9000,14.60,15,14.60,0,0,0
