date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,11/11/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,10/11/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,07/11/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,06/11/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,05/11/2025,8.80,200,8.80,8.80,8.80,0,0,0
2025-11-13,04/11/2025,9,100,9,9,9,0,0,0
2025-11-13,03/11/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,31/10/2025,8.60,1300,8.80,8.80,8.50,0,0,0
2025-11-13,30/10/2025,8.90,100,8.90,8.90,8.90,0,0,0
2025-11-13,29/10/2025,8.60,800,8.40,9.10,8.40,0,0,0
2025-11-13,28/10/2025,8.90,0,8.90,8.90,8.90,0,0,0
2025-11-13,27/10/2025,8.90,1600,8.50,9.10,8.40,0,0,0
2025-11-13,24/10/2025,8.40,2300,8.40,8.40,8.40,0,0,0
2025-11-13,23/10/2025,8.40,100,8.40,8.40,8.40,0,0,0
2025-11-13,22/10/2025,8.40,1500,8.30,8.60,8.30,0,0,0
2025-11-13,21/10/2025,8.60,3700,8.60,8.60,8.60,0,0,0
2025-11-13,20/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,17/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,16/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,15/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,14/10/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,13/10/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,10/10/2025,8.40,0,8.40,8.40,8.40,0,0,0
2025-11-13,09/10/2025,8.40,0,8.40,8.40,8.40,0,0,0
2025-11-13,08/10/2025,8.40,1200,7.90,8.40,7.90,0,0,0
2025-11-13,07/10/2025,8.50,100,8.50,8.50,8.50,0,0,0
2025-11-13,06/10/2025,8.40,0,8.40,8.40,8.40,0,0,0
2025-11-13,03/10/2025,8.40,700,8,8.40,8,0,0,0
2025-11-13,02/10/2025,7.90,2300,8.90,8.90,7.90,0,0,0
2025-11-13,01/10/2025,8.40,100,8.40,8.40,8.40,0,0,0
2025-11-13,30/09/2025,8,200,8.60,8.60,8,0,0,0
2025-11-13,29/09/2025,8.70,0,8.70,8.70,8.70,0,0,0
2025-11-13,26/09/2025,8.70,0,8.70,8.70,8.70,0,0,0
2025-11-13,25/09/2025,8.70,0,8.70,8.70,8.70,0,0,0
2025-11-13,24/09/2025,8.70,0,8.70,8.70,8.70,0,0,0
2025-11-13,23/09/2025,8.70,200,8.80,8.80,8.70,0,0,0
2025-11-13,22/09/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,19/09/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,18/09/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,17/09/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,16/09/2025,8.80,100,8.80,8.80,8.80,0,0,0
2025-11-13,15/09/2025,8.50,0,8.50,8.50,8.50,0,0,0
2025-11-13,12/09/2025,8.50,1800,8.60,8.60,8.30,0,0,0
2025-11-13,11/09/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,10/09/2025,8.60,4800,9.40,9.40,8.60,0,0,0
2025-11-13,09/09/2025,8.60,5000,8.90,8.90,8.10,0,0,0
2025-11-13,08/09/2025,8.90,300,9.30,9.30,8.60,0,0,0
2025-11-13,05/09/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,04/09/2025,8.40,1600,8.60,8.70,8.40,0,0,0
2025-11-13,03/09/2025,8.50,0,8.50,8.50,8.50,0,0,0
2025-11-13,29/08/2025,8.50,100,8.50,8.50,8.50,0,0,0
2025-11-13,28/08/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,27/08/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,26/08/2025,8.80,100,8.80,8.80,8.80,0,0,0
2025-11-13,25/08/2025,8.30,11900,8.90,8.90,8.30,0,0,0
2025-11-13,22/08/2025,8.30,18200,8.70,8.80,8.30,0,0,0
2025-11-13,21/08/2025,8.30,300,8.80,8.80,8.30,0,0,0
2025-11-13,20/08/2025,8.60,11400,8.80,8.80,8.30,0,0,0
2025-11-13,19/08/2025,8.50,13100,8.90,8.90,8.20,0,0,0
2025-11-13,18/08/2025,8.60,6600,8,8.60,8,0,0,0
2025-11-13,15/08/2025,8.70,600,8.70,8.70,8.70,0,0,0
2025-11-13,14/08/2025,8.50,4900,8.70,8.70,8,0,0,0
2025-11-13,13/08/2025,8.60,200,8.70,8.70,8.60,0,0,0
2025-11-13,12/08/2025,8.50,1900,8.50,8.60,8.50,0,0,0
2025-11-13,11/08/2025,8.80,0,8.80,8.80,8.80,0,0,0
2025-11-13,08/08/2025,8.80,100,8.80,8.80,8.80,0,0,0
2025-11-13,07/08/2025,8.60,3800,8.60,8.60,8.40,0,0,0
2025-11-13,06/08/2025,8.40,900,8.60,8.80,8.40,0,0,0
2025-11-13,05/08/2025,9.20,0,9.20,9.20,9.20,0,0,0
2025-11-13,04/08/2025,9.20,100,9.20,9.20,9.20,0,0,0
2025-11-13,01/08/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,31/07/2025,8.60,1700,8.70,8.70,8.30,0,0,0
2025-11-13,30/07/2025,8.20,1000,8.30,8.30,8.20,0,0,0
2025-11-13,29/07/2025,8.80,1400,8.90,8.90,8.40,0,0,0
2025-11-13,28/07/2025,8.30,1200,8.90,8.90,8.30,0,0,0
2025-11-13,25/07/2025,8.70,9900,8.40,8.90,8.40,0,0,0
2025-11-13,24/07/2025,8.40,5000,8.30,8.40,8.10,0,0,0
2025-11-13,23/07/2025,8.30,2200,8.40,8.40,8.30,0,0,0
2025-11-13,22/07/2025,8.10,200,8.10,8.10,8.10,0,0,0
2025-11-13,21/07/2025,8.30,7000,7.90,8.30,7.90,0,0,0
2025-11-13,18/07/2025,7.90,4000,8,8,7.70,0,0,0
2025-11-13,17/07/2025,7.90,2500,7.90,7.90,7.90,0,0,0
2025-11-13,16/07/2025,7.90,1100,7.80,7.90,7.80,0,0,0
2025-11-13,15/07/2025,8,800,8,8,8,0,0,0
2025-11-13,14/07/2025,7.90,8000,7.40,7.90,7.20,0,0,0
2025-11-13,11/07/2025,8,0,8,8,8,0,0,0
2025-11-13,10/07/2025,8,100,8,8,8,0,0,0
2025-11-13,09/07/2025,8,24200,8,8,7.90,0,0,0
2025-11-13,08/07/2025,8,100,8,8,8,0,0,0
2025-11-13,07/07/2025,7.90,2500,8,8,7.80,0,0,0
2025-11-13,04/07/2025,7.90,11700,7.90,7.90,7.90,0,0,0
2025-11-13,03/07/2025,7.90,0,7.90,7.90,7.90,0,0,0
2025-11-13,02/07/2025,7.90,100,7.90,7.90,7.90,0,0,0
2025-11-13,01/07/2025,8,100,8,8,8,0,0,0
2025-11-13,30/06/2025,8,2100,8,8,8,0,0,0
2025-11-13,27/06/2025,8.10,100,8.10,8.10,8.10,0,0,0
2025-11-13,26/06/2025,8,400,8.10,8.10,8,0,0,0
2025-11-13,25/06/2025,7.90,200,8.60,8.60,8.60,0,0,0
2025-11-13,24/06/2025,8,700,8,8,8,0,0,0
