date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,11/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,10/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,07/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,06/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,05/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,04/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,03/11/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,31/10/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,30/10/2025,12,200,14.80,14.80,12,0,0,0
2025-11-13,29/10/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,28/10/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,27/10/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,24/10/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,23/10/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,22/10/2025,13.30,100,13.30,13.30,13.30,0,0,0
2025-11-13,21/10/2025,11.70,100,11.70,11.70,11.70,0,0,0
2025-11-13,20/10/2025,10.20,100,10.20,10.20,10.20,0,0,0
2025-11-13,17/10/2025,10.50,1100,8.70,10.50,8.70,0,0,0
2025-11-13,16/10/2025,11.90,1600,12.60,12.60,9.40,0,0,0
2025-11-13,15/10/2025,11,0,11,11,11,0,0,0
2025-11-13,14/10/2025,11,0,11,11,11,0,0,0
2025-11-13,13/10/2025,11,0,11,11,11,0,0,0
2025-11-13,10/10/2025,11,0,11,11,11,0,0,0
2025-11-13,09/10/2025,11,0,11,11,11,0,0,0
2025-11-13,08/10/2025,11,0,11,11,11,0,0,0
2025-11-13,07/10/2025,11,0,11,11,11,0,0,0
2025-11-13,06/10/2025,11,0,11,11,11,0,0,0
2025-11-13,03/10/2025,11,0,11,11,11,0,0,0
2025-11-13,02/10/2025,11,0,11,11,11,0,0,0
2025-11-13,01/10/2025,11,0,11,11,11,0,0,0
2025-11-13,30/09/2025,11,0,11,11,11,0,0,0
2025-11-13,29/09/2025,11,0,11,11,11,0,0,0
2025-11-13,26/09/2025,11,0,11,11,11,0,0,0
2025-11-13,25/09/2025,11,0,11,11,11,0,0,0
2025-11-13,24/09/2025,11,100,11,11,11,0,0,0
2025-11-13,23/09/2025,9.60,100,9.60,9.60,9.60,0,0,0
2025-11-13,22/09/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,19/09/2025,10.50,0,10.50,10.50,10.50,0,0,0
