date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,11/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,10/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,07/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,06/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,05/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,04/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,03/11/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,31/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,30/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,29/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,28/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,27/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,24/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,23/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,22/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,21/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,20/10/2025,35.60,0,35.60,35.60,35.60,0,0,0
2025-11-13,17/10/2025,35.60,100,35.60,35.60,35.60,0,0,0
2025-11-13,16/10/2025,33,0,33,33,33,0,0,0
2025-11-13,15/10/2025,33,0,33,33,33,0,0,0
2025-11-13,14/10/2025,33,0,33,33,33,0,0,0
2025-11-13,13/10/2025,33,0,33,33,33,0,0,0
2025-11-13,10/10/2025,33,100,33,33,33,0,0,0
2025-11-13,09/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,08/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,07/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,06/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,03/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,02/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,01/10/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,30/09/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,29/09/2025,28.80,0,28.80,28.80,28.80,0,0,0
2025-11-13,26/09/2025,28.80,100,28.80,28.80,28.80,0,0,0
2025-11-13,25/09/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,24/09/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,23/09/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,22/09/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,19/09/2025,25.30,100,25.30,25.30,25.30,0,0,0
2025-11-13,18/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,17/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,16/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,15/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,12/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,11/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,10/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,09/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,08/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,05/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,04/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,03/09/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,29/08/2025,22.50,100,22.50,22.50,22.50,0,0,0
2025-11-13,28/08/2025,19.60,0,19.60,19.60,19.60,0,0,0
2025-11-13,27/08/2025,19.60,0,19.60,19.60,19.60,0,0,0
2025-11-13,26/08/2025,19.60,0,19.60,19.60,19.60,0,0,0
2025-11-13,25/08/2025,19.60,0,19.60,19.60,19.60,0,0,0
2025-11-13,22/08/2025,19.60,100,19.60,19.60,19.60,0,0,0
2025-11-13,21/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,20/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,19/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,18/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,15/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,14/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,13/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,12/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,11/08/2025,17.20,0,17.20,17.20,17.20,0,0,0
2025-11-13,08/08/2025,17.20,100,17.20,17.20,17.20,0,0,0
2025-11-13,07/08/2025,15.40,0,15.40,15.40,15.40,0,0,0
2025-11-13,06/08/2025,15.40,0,15.40,15.40,15.40,0,0,0
2025-11-13,05/08/2025,15.40,0,15.40,15.40,15.40,0,0,0
2025-11-13,04/08/2025,15.40,0,15.40,15.40,15.40,0,0,0
2025-11-13,01/08/2025,16.90,300,14.60,16.90,14.60,0,0,0
2025-11-13,31/07/2025,17.10,0,17.10,17.10,17.10,0,0,0
2025-11-13,30/07/2025,17.10,0,17.10,17.10,17.10,0,0,0
2025-11-13,29/07/2025,17.10,0,17.10,17.10,17.10,0,0,0
2025-11-13,28/07/2025,17.10,0,17.10,17.10,17.10,0,0,0
