date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,283.10,500,284,284.50,283.10,0,0,0,
2025-11-13,11/11/2025,283.90,500,283,283.90,283,0,0,0,
2025-11-13,10/11/2025,283.10,700,284,285,283.10,0,0,0,
2025-11-13,07/11/2025,284,800,281.80,284.10,281.80,0,0,0,
2025-11-13,06/11/2025,280.10,100,280.10,280.10,280.10,0,0,0,
2025-11-13,05/11/2025,286.10,100,286.10,286.10,286.10,0,0,0,
2025-11-13,04/11/2025,286.10,100,286.10,286.10,286.10,0,0,0,
2025-11-13,03/11/2025,281.30,200,286,286,281.30,0,0,0,
2025-11-13,31/10/2025,286.10,100,286.10,286.10,286.10,0,0,0,
2025-11-13,30/10/2025,286.30,200,286.30,286.30,286.30,0,0,0,
2025-11-13,29/10/2025,286.10,1200,285.60,286.50,285.60,0,0,0,
2025-11-13,28/10/2025,289.90,0,289.90,289.90,289.90,0,0,0,
2025-11-13,27/10/2025,289.90,0,289.90,289.90,289.90,0,0,0,
2025-11-13,24/10/2025,289.90,500,309,309,282.10,0,200,-0.1,
2025-11-13,23/10/2025,282,800,284,284,280.10,0,400,-0.1,
2025-11-13,22/10/2025,280,700,280,281,280,0,600,-0.2,
2025-11-13,21/10/2025,281,900,281,281,281,0,500,-0.1,
2025-11-13,20/10/2025,280.90,200,281.20,281.20,280.90,0,200,-0.1,
2025-11-13,17/10/2025,312,0,312,312,312,0,0,0,
2025-11-13,16/10/2025,312,100,312,312,312,0,0,0,
2025-11-13,15/10/2025,288,1500,295,295.70,282.10,0,400,-0.1,
2025-11-13,14/10/2025,295.70,500,270,297,270,0,0,0,
2025-11-13,13/10/2025,296.80,0,296.80,296.80,296.80,0,0,0,
2025-11-13,10/10/2025,296.80,200,309,309,296.80,0,0,0,
2025-11-13,09/10/2025,288.50,0,288.50,288.50,288.50,0,0,0,
2025-11-13,08/10/2025,288.50,300,286,288.50,286,0,0,0,
2025-11-13,07/10/2025,290,200,309,309,290,0,0,0,
2025-11-13,06/10/2025,290,200,290,290,290,0,100,-0.0,
2025-11-13,03/10/2025,287,2200,294,294,267.30,0,2100,-0.6,
2025-11-13,02/10/2025,297,200,297,297,297,0,0,0,
2025-11-13,01/10/2025,306.70,400,307,307,306.70,0,0,0,
2025-11-13,30/09/2025,305.80,200,306.20,306.20,305.80,0,0,0,
2025-11-13,29/09/2025,306.90,200,306.90,306.90,306.90,0,0,0,
2025-11-13,26/09/2025,306.40,100,306.40,306.40,306.40,0,0,0,
2025-11-13,25/09/2025,309.50,500,323,323,309.50,0,0,0,
2025-11-13,24/09/2025,309.90,0,309.90,309.90,309.90,0,0,0,
2025-11-13,23/09/2025,309.90,0,309.90,309.90,309.90,0,0,0,
2025-11-13,22/09/2025,309.90,0,309.90,309.90,309.90,0,0,0,
