date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,30.50,0,30.50,30.50,30.50,0,0,0,
2025-11-13,11/11/2025,30.50,100,30.50,30.50,30.50,0,0,0,
2025-11-13,10/11/2025,30.50,0,30.50,30.50,30.50,0,0,0,
2025-11-13,07/11/2025,30.50,100,30.50,30.50,30.50,0,0,0,
2025-11-13,06/11/2025,30.50,0,30.50,30.50,30.50,0,0,0,
2025-11-13,05/11/2025,30.50,100,30.50,30.50,30.50,0,0,0,
2025-11-13,04/11/2025,30,100,30,30,30,0,0,0,
2025-11-13,03/11/2025,28.50,0,28.50,28.50,28.50,0,0,0,
2025-11-13,31/10/2025,28.50,0,28.50,28.50,28.50,0,0,0,
2025-11-13,30/10/2025,28.50,100,28.50,28.50,28.50,0,0,0,
2025-11-13,29/10/2025,30,0,30,30,30,0,0,0,
2025-11-13,28/10/2025,30,0,30,30,30,0,0,0,
2025-11-13,27/10/2025,30,0,30,30,30,0,0,0,
2025-11-13,24/10/2025,30,200,30,30,30,0,0,0,
2025-11-13,23/10/2025,34,0,34,34,34,0,0,0,
2025-11-13,22/10/2025,34,0,34,34,34,0,0,0,
2025-11-13,21/10/2025,34,0,34,34,34,0,0,0,
2025-11-13,20/10/2025,34,0,34,34,34,0,0,0,
2025-11-13,17/10/2025,34,0,34,34,34,0,0,0,
2025-11-13,16/10/2025,34,100,34,34,34,0,0,0,
2025-11-13,15/10/2025,30,0,30,30,30,0,0,0,
2025-11-13,14/10/2025,30,1000,30,30,30,0,0,0,
2025-11-13,13/10/2025,33.80,300,33.80,33.80,33.80,0,0,0,
2025-11-13,10/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,09/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,08/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,07/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,06/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,03/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,02/10/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,01/10/2025,33.80,300,33.80,33.80,33.80,0,0,0,
2025-11-13,30/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,29/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,26/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,25/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,24/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,23/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,22/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,19/09/2025,33.80,0,33.80,33.80,33.80,0,0,0,
2025-11-13,18/09/2025,33.80,100,33.80,33.80,33.80,0,0,0,
2025-11-13,17/09/2025,39.60,100,39.60,39.60,39.60,0,0,0,
2025-11-13,16/09/2025,36.90,0,36.90,36.90,36.90,0,0,0,
2025-11-13,15/09/2025,39.60,700,39.60,39.60,30,0,0,0,
2025-11-13,12/09/2025,34.90,0,34.90,34.90,34.90,0,0,0,
2025-11-13,11/09/2025,35,700,34.50,35,34.50,0,0,0,
2025-11-13,10/09/2025,34.50,0,34.50,34.50,34.50,0,0,0,
2025-11-13,09/09/2025,34.50,0,34.50,34.50,34.50,0,0,0,
2025-11-13,08/09/2025,34.50,100,34.50,34.50,34.50,0,0,0,
2025-11-13,05/09/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,04/09/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,03/09/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,29/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,28/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,27/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,26/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,25/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,22/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,21/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,20/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,19/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,18/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,15/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,14/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,13/08/2025,35.40,0,35.40,35.40,35.40,0,0,0,
2025-11-13,12/08/2025,35.40,100,35.40,35.40,35.40,0,0,0,
2025-11-13,11/08/2025,31.50,900,31.10,31.50,31.10,0,0,0,
2025-11-13,08/08/2025,35,0,35,35,35,0,0,0,
2025-11-13,07/08/2025,35,0,35,35,35,0,0,0,
2025-11-13,06/08/2025,35,700,35,35,35,0,0,0,
2025-11-13,05/08/2025,35,100,35,35,35,0,0,0,
2025-11-13,04/08/2025,35,1000,36,36,35,0,0,0,
2025-11-13,01/08/2025,40.80,0,40.80,40.80,40.80,0,0,0,
2025-11-13,31/07/2025,40.80,0,40.80,40.80,40.80,0,0,0,
2025-11-13,30/07/2025,40.80,0,40.80,40.80,40.80,0,0,0,
2025-11-13,29/07/2025,40.80,100,40.80,40.80,40.80,0,0,0,
2025-11-13,28/07/2025,48,100,48,48,48,0,0,0,
2025-11-13,25/07/2025,42.30,5900,45,54.10,40.10,0,0,0,
2025-11-13,24/07/2025,42.50,2900,42.50,48.80,42.50,0,0,0,
2025-11-13,23/07/2025,39.40,3400,42,53.20,39.40,0,0,0,
2025-11-13,22/07/2025,40,1400,42,49.10,40,0,0,0,
2025-11-13,21/07/2025,37,1100,38,45.50,37,0,0,0,
2025-11-13,18/07/2025,38,2200,36.70,42.20,36.70,0,0,0,
2025-11-13,17/07/2025,36,1300,36.50,36.80,36,0,0,0,
2025-11-13,16/07/2025,36.50,200,36.50,36.50,36.50,0,0,0,
2025-11-13,15/07/2025,36.80,0,36.80,36.80,36.80,0,0,0,
2025-11-13,14/07/2025,37,300,36.50,37,36.50,0,0,0,
2025-11-13,11/07/2025,36.50,300,35,36.50,35,0,0,0,
2025-11-13,10/07/2025,37,100,37,37,37,0,0,0,
2025-11-13,09/07/2025,39,200,38,39,38,0,0,0,
2025-11-13,08/07/2025,38,0,38,38,38,0,0,0,
2025-11-13,07/07/2025,38,0,38,38,38,0,0,0,
2025-11-13,04/07/2025,38,0,38,38,38,0,0,0,
