date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,264.79,67481047,261.08,265.09,261.41,0,0,0
2025-11-13,11/11/2025,261.08,53818490,258.20,261.10,257.68,0,0,0
2025-11-13,10/11/2025,258.18,72718852,259.97,261.76,256.83,0,0,0
2025-11-13,07/11/2025,260.11,79143397,265.89,266.45,259.79,0,0,0
2025-11-13,06/11/2025,266.15,77302317,267.06,267.50,263.76,0,0,0
2025-11-13,05/11/2025,266.70,84404560,266.45,266.93,264.91,0,0,0
2025-11-13,04/11/2025,265.91,112782375,258.60,265.91,255.61,0,0,0
2025-11-13,03/11/2025,259.18,126507805,266.07,267.54,258.86,0,0,0
2025-11-13,31/10/2025,265.85,82270724,267.33,269.04,265.28,0,0,0
2025-11-13,30/10/2025,266.96,79130299,268.17,269.95,266.02,0,0,0
2025-11-13,29/10/2025,268.04,66813465,267.44,270.03,267.12,0,0,0
2025-11-13,28/10/2025,266.78,100850465,265.20,267.17,261.90,0,0,0
2025-11-13,27/10/2025,265.36,91166688,269.13,270.46,265.24,0,0,0
2025-11-13,24/10/2025,267.28,104184864,267.21,268.84,264.65,0,0,0
2025-11-13,23/10/2025,266.78,81158782,269.29,269.86,266.05,0,0,0
2025-11-13,22/10/2025,268.69,107619785,265.59,268.69,262.06,0,0,0
2025-11-13,21/10/2025,264.65,140750639,262.43,266.99,259.40,0,0,0
2025-11-13,20/10/2025,263.02,168904693,275.54,278.91,262.80,0,0,0
2025-11-13,17/10/2025,276.11,99958425,277.45,278.80,275.17,0,0,0
2025-11-13,16/10/2025,277.08,100125847,276.73,278.63,275.66,0,0,0
2025-11-13,15/10/2025,276.12,89138167,275.30,276.89,273.83,0,0,0
2025-11-13,14/10/2025,275.33,139970900,276.31,279.39,274.88,0,0,0
2025-11-13,13/10/2025,275.35,130746135,271.43,276.21,270.92,0,0,0
2025-11-13,10/10/2025,273.62,90962584,275.40,276.51,273.03,0,0,0
2025-11-13,09/10/2025,274.94,72335661,273.44,274.94,272.94,0,0,0
2025-11-13,08/10/2025,273.34,98276864,276.28,278.16,272.01,0,0,0
2025-11-13,07/10/2025,272.87,79293465,275.11,276.16,272.55,0,0,0
2025-11-13,06/10/2025,274.69,95137149,266.12,275.27,266.12,0,0,0
2025-11-13,03/10/2025,265.75,83297420,269.67,269.67,265.55,0,0,0
2025-11-13,02/10/2025,269.55,72193637,273.25,274.48,269.04,0,0,0
2025-11-13,01/10/2025,273.22,65609647,273.34,274.53,272.56,0,0,0
2025-11-13,30/09/2025,273.16,104563066,274.87,275.88,269.24,0,0,0
2025-11-13,29/09/2025,275.15,69484283,276.04,277.28,274.56,0,0,0
2025-11-13,26/09/2025,276.06,96672625,277.88,278.53,275.58,0,0,0
2025-11-13,25/09/2025,277.65,86349548,277.64,280.13,277.35,0,0,0
2025-11-13,24/09/2025,277.28,91053696,273.67,277.28,272.06,0,0,0
2025-11-13,23/09/2025,273.01,56906420,274.50,275.89,272.72,0,0,0
2025-11-13,22/09/2025,274.23,105992206,276.39,277.66,271.55,0,0,0
2025-11-13,19/09/2025,276.24,67429574,277.16,278.30,275.84,0,0,0
2025-11-13,18/09/2025,276.92,67068605,277.74,279.01,276.11,0,0,0
2025-11-13,17/09/2025,277.63,79506666,279.12,281.01,277.23,0,0,0
2025-11-13,16/09/2025,278.98,100100795,281.79,283.71,277.61,0,0,0
2025-11-13,15/09/2025,280.69,101067231,277.39,280.69,277.39,0,0,0
2025-11-13,12/09/2025,276.51,88855644,275.13,277.39,275.13,0,0,0
2025-11-13,11/09/2025,274.18,120485637,0,0,0,0,0,0
2025-11-13,10/09/2025,274.60,80195997,275.53,277.05,273.01,0,0,0
2025-11-13,09/09/2025,274.82,93528269,271.73,274.82,270.95,0,0,0
2025-11-13,08/09/2025,271.57,173752793,280.12,281.59,271.37,0,0,0
2025-11-13,05/09/2025,280.67,172392802,285.17,288.32,280.67,0,0,0
2025-11-13,04/09/2025,283.99,108993003,282.96,286,282.68,0,0,0
2025-11-13,03/09/2025,282.70,113019839,280.45,282.83,279.98,0,0,0
2025-11-13,02/09/2025,279.98,146143540,0,0,0,0,0,0
2025-11-13,29/08/2025,279.98,142148824,277.31,282.26,276.63,0,0,0
2025-11-13,28/08/2025,276.63,100843190,276.61,277.59,274.78,0,0,0
2025-11-13,27/08/2025,276,125657024,276.86,279.50,275.79,0,0,0
2025-11-13,26/08/2025,275.79,109266117,265.05,275.79,265.02,0,0,0
2025-11-13,25/08/2025,266.58,113939416,272.75,275.19,265.08,0,0,0
2025-11-13,22/08/2025,272.48,202804760,283.58,284.39,270.73,0,0,0
2025-11-13,21/08/2025,284.39,146969243,284.40,288.07,283.32,0,0,0
2025-11-13,20/08/2025,283.73,219521502,286.79,287.16,275.42,0,0,0
2025-11-13,19/08/2025,286.45,186671727,284.70,288.69,283.87,0,0,0
2025-11-13,18/08/2025,283.87,152114607,283.04,284.16,280.98,0,0,0
2025-11-13,15/08/2025,282.34,188994562,286.91,289.07,279.76,0,0,0
2025-11-13,14/08/2025,285.15,181429299,281.09,285.15,279.69,0,0,0
2025-11-13,13/08/2025,279.69,226113883,277.21,279.69,273.95,0,0,0
2025-11-13,12/08/2025,276.47,141235648,275.86,277.17,272.91,0,0,0
2025-11-13,11/08/2025,274.81,163955517,273.23,276.60,272.46,0,0,0
2025-11-13,08/08/2025,272.46,218138088,271.39,273.23,268.14,0,0,0
2025-11-13,07/08/2025,270.86,131589305,270.22,271.73,268.65,0,0,0
2025-11-13,06/08/2025,268.66,131115724,266.27,268.66,266.12,0,0,0
2025-11-13,05/08/2025,266.12,258181051,269.46,272.87,261.04,0,0,0
2025-11-13,04/08/2025,268.34,160802702,264.05,268.35,262.88,0,0,0
2025-11-13,01/08/2025,261.51,187295757,255.74,268.02,262.88,0,0,0
2025-11-13,31/07/2025,266.34,195555373,263.92,266.52,260.17,0,0,0
2025-11-13,30/07/2025,261.51,178566296,255.74,261.51,255.36,0,0,0
2025-11-13,29/07/2025,255.36,315474917,266.16,269.64,254.15,0,0,0
2025-11-13,28/07/2025,263.79,194200429,255.55,263.79,254.56,0,0,0
2025-11-13,25/07/2025,254.56,163753821,252.42,254.56,250.67,0,0,0
2025-11-13,24/07/2025,250.67,136538252,249.89,251.53,248.40,0,0,0
2025-11-13,23/07/2025,249.33,153882937,248.55,251.30,247.85,0,0,0
2025-11-13,22/07/2025,247.85,146578718,245.73,247.85,244.61,0,0,0
2025-11-13,21/07/2025,245.79,151790980,248.36,250.15,244.99,0,0,0
2025-11-13,18/07/2025,247.77,177983316,247.39,250.54,246.09,0,0,0
2025-11-13,17/07/2025,246.09,192814440,242.66,247.72,242.35,0,0,0
2025-11-13,16/07/2025,241.31,156599564,240.46,3,239.78,0,0,0
2025-11-13,15/07/2025,240.33,161908037,240.37,242.57,239.61,0,0,0
2025-11-13,14/07/2025,239.61,136158484,238.81,239.99,236.90,0,0,0
2025-11-13,11/07/2025,238.81,140469119,238.86,240.05,237.96,0,0,0
2025-11-13,10/07/2025,238.44,109166972,239.01,240.04,237.77,0,0,0
2025-11-13,09/07/2025,238.63,158874193,237.66,239.88,237.62,0,0,0
2025-11-13,08/07/2025,237.68,104476195,236.94,238.40,235.87,0,0,0
2025-11-13,07/07/2025,235.90,122220800,232.89,235.90,232.51,0,0,0
2025-11-13,04/07/2025,232.51,89570369,231,232.91,230.91,0,0,0
2025-11-13,03/07/2025,230.93,134741267,231.71,232.83,229.83,0,0,0
2025-11-13,02/07/2025,231.62,100961480,228.03,231.62,228.03,0,0,0
2025-11-13,01/07/2025,228.45,79010860,229.04,229.65,227.68,0,0,0
2025-11-13,30/06/2025,229.22,65360363,228.02,229.22,227.75,0,0,0
2025-11-13,27/06/2025,227.81,65344077,228.22,229.21,226.85,0,0,0
2025-11-13,26/06/2025,227.70,62890167,227.86,228.16,226.72,0,0,0
2025-11-13,25/06/2025,227.66,69408494,227.88,228.74,227.04,0,0,0
